date,type,title,sponsor,committees,latest_action,tracker,url
08/13/2021,BILL,Catawba Indian Nation Lands Act,"Rep. Clyburn, James E. [D-SC-6]", House - Natural Resources        ,"House - 08/13/2021 Placed on the Union Calendar, Calendar No. 82. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/1619?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=1
08/13/2021,BILL,Commonsense Coordination Act,"Rep. Bentz, Cliff [R-OR-2]", House - Natural Resources; Agriculture        ,House - 08/13/2021 Referred to the Subcommittee on Conservation and Forestry. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4623?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=2
08/13/2021,BILL,FIRESHEDS Act,"Rep. Moore, Blake D. [R-UT-1]", House - Agriculture; Natural Resources        ,House - 08/13/2021 Referred to the Subcommittee on Conservation and Forestry. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4664?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=3
08/13/2021,BILL,Fair Sugar Policy Act of 2021,"Rep. Foxx, Virginia [R-NC-5]", House - Agriculture        ,House - 08/13/2021 Referred to the Subcommittee on General Farm Commodities and Risk Management. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4680?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=4
08/13/2021,BILL,Sustaining America’s Fisheries for the Future Act of 2021,"Rep. Huffman, Jared [D-CA-2]", House - Natural Resources; Agriculture        ,House - 08/13/2021 Referred to the Subcommittee on Livestock and Foreign Agriculture. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4690?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=5
08/13/2021,BILL,Treating Tribes and Counties as Good Neighbors Act,"Rep. Fulcher, Russ [R-ID-1]", House - Natural Resources; Agriculture        ,House - 08/13/2021 Referred to the Subcommittee on Conservation and Forestry. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4705?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=6
08/13/2021,BILL,CRP Flexibility Act,"Rep. Johnson, Dusty [R-SD-At Large]", House - Agriculture        ,House - 08/13/2021 Referred to the Subcommittee on Conservation and Forestry. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4710?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=7
08/13/2021,BILL,Digital Asset Market Structure and Investor Protection Act,"Rep. Beyer, Donald S., Jr. [D-VA-8]", House - Financial Services; Agriculture; Ways and Means        ,"House - 08/13/2021 Referred to the Subcommittee on Commodity Exchanges, Energy, and Credit. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4741?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=8
08/13/2021,BILL,Border Security for America Act of 2021,"Rep. Katko, John [R-NY-24]", House - Homeland Security; Agriculture; Ways and Means        ,"House - 08/13/2021 Referred to the Subcommittee on Biotechnology, Horticulture, and Research. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4828?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=9
08/13/2021,BILL,Protecting Vulnerable Patients Act,"Rep. Beyer, Donald S., Jr. [D-VA-8]", House - Energy and Commerce; Ways and Means        ,"House - 08/13/2021 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5007?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=10
08/13/2021,BILL,To protect the voting rights of Native American and Alaska Native voters.,"Rep. Davids, Sharice [D-KS-3]", House - House Administration; Judiciary        ,"House - 08/13/2021 Referred to the Committee on House Administration, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5008?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=11
08/13/2021,BILL,"To prohibit the District of Columbia Government from requiring individuals to present documentation certifying COVID-19 vaccination as a condition of entering any building, facility, or other venue in the District of Columbia.","Rep. Fallon, Pat [R-TX-4]", House - Oversight and Reform        ,House - 08/13/2021 Referred to the House Committee on Oversight and Reform. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5009?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=12
08/13/2021,BILL,"To direct the Administrator of the National Oceanic and Atmospheric Administration to maintain a program that improves wildfire forecasting and detection, and for other purposes.","Rep. Garcia, Mike [R-CA-25]"," House - Science, Space, and Technology        ","House - 08/13/2021 Referred to the House Committee on Science, Space, and Technology. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5010?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=13
08/13/2021,BILL,"To provide for the establishment of Medicare part E public health plans, and for other purposes.","Rep. Gomez, Jimmy [D-CA-34]", House - Energy and Commerce; Ways and Means; Education and Labor        ,"House - 08/13/2021 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Labor, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the... (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5011?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=14
08/13/2021,BILL,To amend title XVIII of the Social Security Act to provide for enhanced Medicare beneficiary information through access to annual Medicare notifications in multiple languages.,"Rep. Gomez, Jimmy [D-CA-34]", House - Ways and Means; Energy and Commerce        ,"House - 08/13/2021 Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5012?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=15
08/13/2021,BILL,"To exempt small seller financers from certain licensing requirements, and for other pusposes.","Rep. Gonzalez, Vicente [D-TX-15]", House - Financial Services        ,House - 08/13/2021 Referred to the House Committee on Financial Services. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5013?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=16
