name,text,date,pdf_link
,,,https://www.congress.gov/bill-texts-received-today
H.R.6861 [117th], - Reducing Costs of DHS Acquisitions Act,Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hr6861/BILLS-117hr6861ih.pdf
H.Res.952 [117th]," - Expressing support for the designation of February 28, 2022, as ""Rare Disease Day"".",Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hres952/BILLS-117hres952ih.pdf
H.R.6868 [117th], - Cybersecurity Grants for Schools Act of 2022,Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hr6868/BILLS-117hr6868ih.pdf
H.R.6873 [117th], - Bombing Prevention Act of 2022,Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hr6873/BILLS-117hr6873ih.pdf
H.Res.951 [117th], - Recognizing the 100th anniversary of the American College of Surgeons Committee on Trauma and the importance of preventing injury and saving more lives from injury around the globe.,Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hres951/BILLS-117hres951ih.pdf
H.R.6871 [117th], - DHS Acquisition Reform Act,Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hr6871/BILLS-117hr6871ih.pdf
H.Res.948 [117th], - Recognizing the extraordinary challenges faced by patients of color with rare diseases and the need to identify and promote evidenced-based solutions to alleviate the disproportionate burden of rare diseases on these communities and supporting the recognition of the las,Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hres948/BILLS-117hres948ih.pdf
H.R.6856 [117th], - Securing Air Travel Act,Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hr6856/BILLS-117hr6856ih.pdf
H.Res.950 [117th]," - Providing for consideration of the bill (H.R. 3967) to improve health care and benefits for veterans exposed to toxic substances, and for other purposes.",Reported in House (02/28/2022):,https://www.congress.gov/117/bills/hres950/BILLS-117hres950rh.pdf
H.Res.954 [117th]," - Expressing support for designation of March 3, 2022, as ""National Triple-Negative Breast Cancer Day"".",Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hres954/BILLS-117hres954ih.pdf
H.Res.953 [117th]," - Honoring the first responders who acted swiftly on Sunday, January 16, 2022, to ensure the safety of the residents affected by tornadoes that struck southwest Florida.",Introduced in House (02/28/2022):,https://www.congress.gov/117/bills/hres953/BILLS-117hres953ih.pdf
H.R.6825 [117th], - Nonprofit Security Grant Program Improvement Act of 2022,Introduced in House (02/25/2022):,https://www.congress.gov/117/bills/hr6825/BILLS-117hr6825ih.pdf
H.R.6824 [117th], - President’s Cup Cybersecurity Competition Act,Introduced in House (02/25/2022):,https://www.congress.gov/117/bills/hr6824/BILLS-117hr6824ih.pdf
H.R.6837 [117th], - No TikTok on Department of Homeland Security Devices Act,Introduced in House (02/25/2022):,https://www.congress.gov/117/bills/hr6837/BILLS-117hr6837ih.pdf
H.R.6827 [117th], - Securing the Checkpoint Property Screening System (S-CPSS) Act of 2022,Introduced in House (02/25/2022):,https://www.congress.gov/117/bills/hr6827/BILLS-117hr6827ih.pdf
H.R.6826 [117th], - CTPAT Pilot Program Act of 2022,Introduced in House (02/25/2022):,https://www.congress.gov/117/bills/hr6826/BILLS-117hr6826ih.pdf
H.R.6766 [117th], - Congressional Tribute to Constance Baker Motley Act of 2022,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6766/BILLS-117hr6766ih.pdf
H.R.6767 [117th], - Portable Benefits for Independent Workers Pilot Program Act,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6767/BILLS-117hr6767ih.pdf
H.R.6765 [117th], - FUELS Act,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6765/BILLS-117hr6765ih.pdf
H.R.6769 [117th], - Pro Codes Act,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6769/BILLS-117hr6769ih.pdf
H.R.6772 [117th], - Expediting Natural Gas Exports to Allies Act,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6772/BILLS-117hr6772ih.pdf
H.R.6764 [117th], - Preventing Violence Against Female Inmates Act of 2022,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6764/BILLS-117hr6764ih.pdf
H.R.6768 [117th], - To amend the Middle Class Tax Relief and Job Creation Act of 2012 to reauthorize the First Responder Network Authority.,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6768/BILLS-117hr6768ih.pdf
H.R.6771 [117th], - South Florida Ecosystem Enhancement Act of 2022,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6771/BILLS-117hr6771ih.pdf
H.R.6773 [117th], - Protecting Federal Funds from Human Trafficking and Smuggling Act of 2022,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6773/BILLS-117hr6773ih.pdf
H.R.6776 [117th], - Health Care Worker and First Responder Social Security Beneficiary Choice Act of 2022,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6776/BILLS-117hr6776ih.pdf
H.R.6770 [117th], - PACE Plus Act,Introduced in House (02/18/2022):,https://www.congress.gov/117/bills/hr6770/BILLS-117hr6770ih.pdf
H.R.4588 [117th], - Regional Innovation Act of 2021,Reported in House (02/28/2022):,https://www.congress.gov/117/bills/hr4588/BILLS-117hr4588rh.pdf
