category,date,title,url,summary
Press Release,"Oct 21, 2021",Pallone Opening Remarks at Energy Hearing on Offshore Wind,https://energycommerce.house.gov/newsroom/press-releases/pallone-opening-remarks-at-energy-hearing-on-offshore-wind,Chairman Pallone's opening remarks at an Energy Subcommittee hearing on offshore wind.
Press Release,"Oct 20, 2021",Pallone and Doyle on House Passage of Four Bipartisan Bills to Strengthen Nation’s Telecommunications Infrastructure,https://energycommerce.house.gov/newsroom/press-releases/pallone-and-doyle-on-house-passage-of-four-bipartisan-bills-to-strengthen,Pallone and Doyle's statement on House passage of four bipartisan bills to strengthen our nation's telecommunications infrastructure.
Press Release,"Oct 20, 2021",E&C Announces Environmental Hearing on Fulfilling the Promise of TSCA Reform,https://energycommerce.house.gov/newsroom/press-releases/ec-announces-environmental-hearing-on-fulfilling-the-promise-of-tsca-reform,Chairman Pallone and Environment and Climate Change Subcommittee Chairman Paul Tonko announce an oversight hearing on TSCA reform implementation.
Press Release,"Oct 20, 2021",Pallone & Murray Voice Support for Biden Administration’s Surprise Billing Implementation Rule,https://energycommerce.house.gov/newsroom/press-releases/pallone-murray-voice-support-for-biden-administration-s-surprise-billing,Pallone & Murray voice support for the Biden Administration’s surprise billing implementation rule.
Press Release,"Oct 20, 2021",Pallone Opening Remarks at Legislative Hearing on Public Health Legislation,https://energycommerce.house.gov/newsroom/press-releases/pallone-opening-remarks-at-legislative-hearing-on-public-health-legislation,Chairman Pallone's opening remarks at a legislative hearing on public health legislation.
Press Release,"Oct 20, 2021",Pallone and Eshoo Praise House Passage of Four Public Health Bills,https://energycommerce.house.gov/newsroom/press-releases/pallone-and-eshoo-praise-house-passage-of-four-public-health-bills,Pallone and Eshoo's statement praising House passage of four public health bills.
Press Release,"Oct 19, 2021",Pallone and Neal on CBO Analysis of the Build Back Better Act’s Expansion of Health Care Coverage,https://energycommerce.house.gov/newsroom/press-releases/pallone-and-neal-on-cbo-analysis-of-the-build-back-better-act-s-expansion-of,Pallone and Neal's statement on CBO's analysis of the Build Back Better Act’s expansion of health care coverage.
Press Release,"Oct 19, 2021","	E&C Announces Health Hearing on Legislation to Support Patients, Caregivers, and Providers",https://energycommerce.house.gov/newsroom/press-releases/ec-announces-health-hearing-on-legislation-to-support-patients-caregivers,Pallone and Eshoo announced a Health Subcommittee legislative hearing.
Press Release,"Oct 18, 2021","Pallone, Tonko Praise the Biden EPA’s PFAS Roadmap",https://energycommerce.house.gov/newsroom/press-releases/pallone-tonko-praise-the-biden-epa-s-pfas-roadmap,Chairmen Pallone and Tonko applaud the Biden Administration's roadmap to tackle PFAS contamination.
Hearings,10/21/2021,"Hearing on ""Offshore Wind, Onshore Benefits: Growing the Domestic Wind Energy Industry""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-offshore-wind-onshore-benefits-growing-the-domestic-wind,
Hearings,10/26/2021,"Hearing on ""Caring for America: Legislation to Support Patients, Caregivers, and Providers""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-caring-for-america-legislation-to-support-patients-caregivers,
Hearings,10/27/2021,"""TSCA and Public Health: Fulfilling the Promise of the Lautenberg Act""",https://energycommerce.house.gov/committee-activity/hearings/tsca-and-public-health-fulfilling-the-promise-of-the-lautenberg-act,
Hearings,10/20/2021,"Hearing on ""Enhancing Public Health: Legislation to Protect Children and Families""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-enhancing-public-health-legislation-to-protect-children-and,
