category,date,title,url
Hearings,12/07/2021,"POSTPONED: Hearing on ""Securing our Energy Infrastructure: Legislation to Enhance Pipeline Reliability""",https://energycommerce.house.gov/committee-activity/hearings/postponed-hearing-on-securing-our-energy-infrastructure-legislation-to
Press Release,"Dec 02, 2021",E&C Leaders Request GAO Examine Issues at DOE Affecting Progress on Reducing Environmental Liabilities,https://energycommerce.house.gov/newsroom/press-releases/ec-leaders-request-gao-examine-issues-at-doe-affecting-progress-on-reducing
Press Release,"Dec 02, 2021",	E&C Announces Additional Details on Second Legislative Hearing Focused on Holding Big Tech Accountable,https://energycommerce.house.gov/newsroom/press-releases/ec-announces-additional-details-on-second-legislative-hearing-focused-on
Press Release,"Dec 02, 2021",Pallone Opening Remarks at Health Hearing on Interagency Proposal to Regulate Fentanyl-Related Substances,https://energycommerce.house.gov/newsroom/press-releases/pallone-opening-remarks-at-health-hearing-on-interagency-proposal-to
Press Release,"Dec 01, 2021",Pallone and Doyle on House Passage of Three Bipartisan Cybersecurity Bills,https://energycommerce.house.gov/newsroom/press-releases/pallone-and-doyle-on-house-passage-of-three-bipartisan-cybersecurity-bills
Hearings,12/08/2021,"RESCHEDULED: Hearing on ""The Future of Biomedicine: Translating Biomedical Research into Personalized Health Care""",https://energycommerce.house.gov/committee-activity/hearings/rescheduled-hearing-on-the-future-of-biomedicine-translating-biomedical
Hearings,12/09/2021,"Hearing on ""Holding Big Tech Accountable: Legislation to Build a Safer Internet""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-holding-big-tech-accountable-legislation-to-build-a-safer
Hearings,12/02/2021,"Hearing on ""The Overdose Crisis: Interagency Proposal to Combat Illicit Fentanyl-Related Substances""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-the-overdose-crisis-interagency-proposal-to-combat-illicit
Hearings,12/01/2021,"Hearing on ""Holding Big Tech Accountable: Targeted Reforms to Tech's Legal Immunity""",https://energycommerce.house.gov/committee-activity/hearings/hearing-on-holding-big-tech-accountable-targeted-reforms-to-techs-legal
Press Release,"Dec 01, 2021",Bipartisan E&C Leaders Remind the Olympic Community of its Legal Obligations to Report Allegations of Sexual Abuse  ,https://energycommerce.house.gov/newsroom/press-releases/bipartisan-ec-leaders-remind-the-olympic-community-of-its-legal-obligations
Press Release,"Dec 01, 2021",Pallone Opening Remarks at Hearing on Section 230 Legislation to Hold Big Tech Accountable,https://energycommerce.house.gov/newsroom/press-releases/pallone-opening-remarks-at-hearing-on-section-230-legislation-to-hold-big
Press Release,"Dec 01, 2021",Pallone on Supreme Court Hearing that Threatens to Overturn Longstanding Roe v. Wade Protections,https://energycommerce.house.gov/newsroom/press-releases/pallone-on-supreme-court-hearing-that-threatens-to-overturn-longstanding-roe
