category,date,title,url,summary
Hearings,"September 30, 2021",Oversight of the Treasury Department's and Federal Reserve's Pandemic Response,https://financialservices.house.gov/calendar/EventSingle.aspx?EventID=408306,Full Committee
Hearings,"September 29, 2021","The Future of Banking: How Consolidation, Nonbank Competition, and Technology are Reshaping the Banking System",https://financialservices.house.gov/calendar/EventSingle.aspx?EventID=408305,Subcommittee on Consumer Protection and Financial Institutions
Hearings,"September 28, 2021",Access Denied: Eliminating Barriers and Increasing Economic Opportunity for Justice-Involved Individuals,https://financialservices.house.gov/calendar/EventSingle.aspx?EventID=408304,Subcommittee on Diversity and Inclusion
Hearings,"September 23, 2021",Lending in a Crisis: Reviewing the Federal Reserve’s Emergency Lending Powers During the Pandemic and Examining Proposals to Address Future Economic Crises,https://financialservices.house.gov/calendar/EventSingle.aspx?EventID=408303,"Subcommittee on National Security, International Development and Monetary Policy"
Hearings,"September 22, 2021","POSTPONED: Taking Stock of “China, Inc.”: Examining Risks to Investors and the U.S. Posed by Foreign Issuers in U.S. Markets",https://financialservices.house.gov/calendar/EventSingle.aspx?EventID=408302,"Subcommittee on Investor Protection, Entrepreneurship and Capital Markets"
Hearings,"September 21, 2021",Preserving the Right of Consumers to Access Personal Financial Data,https://financialservices.house.gov/calendar/EventSingle.aspx?EventID=408301,Task Force on Financial Technology
Press Release,"September 17, 2021",Waters and Committee Democrats Pass Legislation to Expedite Emergency Rental Assistance to Renters and Landlords,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408366,"Congresswoman Maxine Waters (D-CA), Chairwoman of the House Financial Services Committee, released a statement following the passing of her legislation, H.R. 5156, the ‘‘Expediting Assistance to Renters and Landlords Act of 2021,” by the House Committee on Financial Services, which will reform the Emergency Rental Assistance (ERA) program. The bill passed the Committee by a vote of 28-22. “Even be... "
Press Release,"September 16, 2021",Waters Endorses Nomination of Sandra L. Thompson as Director of FHFA,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408328,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Financial Services Committee, released a statement calling for Federal Housing Finance Agency (FHFA) Acting Director Sandra Thompson to be nominated to lead the agency. “Today, I call on President Biden to nominate Sandra L. Thompson as Director of the Federal Housing Finance Agency (FHFA). As an independent agency, the FHFA has a ... "
Press Release,"September 16, 2021",Waters Announces Updates to September Committee Schedule,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408327,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Committee on Financial Services, announced the following schedule for the month of September: September 21 at 10:00 AM ET: The Task Force on Financial Technology will convene for a hybrid hearing entitled, “Preserving the Right of Consumers to Access Personal Financial Data.” POSTPONED: The Subcommittee on Investor Protection, Entr... "
Press Release,"September 14, 2021",Committee Passes Legislation to Expedite Emergency Rental Assistance and Provide Protections for Descendants of Black Native American Freedmen,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408326,"Today, the House Financial Services Committee, led by Chairwoman Maxine Waters (D-CA), passed bills to expedite emergency rental assistance and reauthorize the Native American Housing Assistance and Self-Determination Act with protections for descendants of Black Native American Freedmen. The following bill passed the Committee by a vote of 35-15. H.R. 5195, the “Native American Housing Assistance... "
Press Release,"September 14, 2021",Committee Passes Build Back Better Agenda to Provide Long-Overdue Investments in Housing Resources,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408325,"Today, the House Financial Services Committee passed the Financial Services Committee Title of the Build Back Better Act to provide long-overdue investments in housing resources, such as affordable housing, downpayment assistance, and efforts to end homelessness. The following bill passed the Committee by a vote of 30-24. The Build Back Better Act is a bill that would provide $322 billion in fundi... "
