category,date,time,title,urls
Markup,7/28/21,10:00 AM,Markup of Various Measures,https://foreignaffairs.house.gov/markups?ID=F759C621-1AC2-4887-A2D9-BA3E356207B2
Hearing,7/29/21,1:00 PM,Renewable Energy Transition: A Case Study of How International Collaboration on Offshore Wind Technology Benefits American Workers,https://foreignaffairs.house.gov/hearings?ID=9399F384-0CCF-4D8E-AAA7-0E59F9BC8F66
Hearing,7/29/21,10:00 AM,"Lebanon: Assessing Political Paralysis, Economic Crisis and Challenges for U.S. Policy",https://foreignaffairs.house.gov/hearings?ID=4463B4E8-8C61-430B-AA6D-C4C28EC531B3
Hearing,7/28/21,10:00 AM,Markup of Various Measures,https://foreignaffairs.house.gov/hearings?ID=F759C621-1AC2-4887-A2D9-BA3E356207B2
Hearing,7/27/21,2:00 PM,Implementation of the Global Child Thrive Act and Investing in Early Childhood Development,https://foreignaffairs.house.gov/hearings?ID=31B6E9BD-6CDD-4246-BF48-D63FC2FC4291
Hearing,7/27/21,10:00 AM,Scenarios in a Cross-Strait Conflict,https://foreignaffairs.house.gov/hearings?ID=E54BDADE-326F-4889-B6FC-D0791DD06FC7
Press Release,7/23/21,,Meeks Issues Statement on Today’s Presidential Delegation to Haiti,https://foreignaffairs.house.gov/press-releases?ID=D99710E5-944C-4D8F-807F-8C7B18E7560F
Hearing,7/21/21,10:00 AM,People to People: Examining Grassroots Peacebuilding Efforts Between Israelis and Palestinians,https://foreignaffairs.house.gov/hearings?ID=C6DB1188-0677-4C38-AAA4-4AC744B9933A
Hearing,7/20/21,2:00 PM,U.S.-European Cooperation on China and the Broader Indo-Pacific,https://foreignaffairs.house.gov/hearings?ID=B04ABCA9-B140-4E01-89F3-5F532711BB46
Hearing,7/20/21,12:00 PM,"The New Transatlantic Trade Agenda: China, Climate, and COVID-19",https://foreignaffairs.house.gov/hearings?ID=EEF41110-33FD-4F73-9FB2-1107DF9DB76C
Hearing,7/20/21,10:00 AM,Historic Protests in Cuba and the Crackdown on Free Expression,https://foreignaffairs.house.gov/hearings?ID=BB31D15B-48F7-4F6B-9681-371628F82470
Press Release,7/22/21,,Meeks Issues Statement After Meeting with King of Jordan,https://foreignaffairs.house.gov/press-releases?ID=D8715B87-2C6B-4A05-BF9F-E23E02386F4C
Press Release,7/21/21,,"Meeks, Sires Congratulate Peru on Completion of Successful Presidential Elections",https://foreignaffairs.house.gov/press-releases?ID=04997CDA-794B-4337-AEB1-02A8C6F6D268
