category,date,title,url,description
Press Releases,10.21.2021,Leader Rodgers Remarks During Energy Subcommittee Hearing on Affordability and Reliability,https://republicans-energycommerce.house.gov/news/leader-rodgers-remarks-during-energy-subcommittee-hearing-on-affordability-and-reliability/,"Washington, D.C. — Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) delivered remarks in today’s Energy Subcommittee hearing on how President Biden’s reckless energy agenda has led to higher energy costs for families, that will only get worse this winter."
Press Releases,10.20.2021,Energy & Commerce GOP Leaders Statement on Documents Released by the NIH,https://republicans-energycommerce.house.gov/news/energy-commerce-gop-leaders-statement-on-documents-released-by-the-nih/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA), Subcommittee on Health Republican Leader Brett Guthrie (R-KY), and Subcommittee on Oversight and Investigations Republican Leader Morgan Griffith (R-VA), released a statement in response to the National Institutes of Health (NIH) turning over a limited number of previously requested documents related to the origins of the COVID-19 pandemic."
Press Releases,10.20.2021,House Passes Bipartisan Energy and Commerce Health Care Solutions,https://republicans-energycommerce.house.gov/news/house-passes-bipartisan-energy-and-commerce-health-care-solutions/,"Washington, D.C. — Republican Leader of the Energy and Commerce Committee Cathy McMorris Rodgers (R-WA) and Health Subcommittee Republican Leader Brett Guthrie (R-KY) released the following statement on four health care bills that passed the House this week with bipartisan support. "
Press Releases,10.20.2021,House Passes Bipartisan Legislation to Ensure America Leads in Next-Gen Wireless Technologies,https://republicans-energycommerce.house.gov/news/press-release/house-passes-bipartisan-legislation-to-ensure-america-leads-in-next-gen-wireless-technologies/,"Washington, D.C. — Republican Leader of the Energy and Commerce Committee Cathy McMorris Rodgers (R-WA) and Communications and Technology Subcommittee Republican Leader Bob Latta (R-OH) released the following statement on bills that passed the House today with bipartisan support.  "
Press Releases,10.20.2021,Subcommittee Leader Guthrie Remarks at Health Subcommittee Legislative Hearing on Public Health Bills,https://republicans-energycommerce.house.gov/news/subcommittee-leader-guthrie-remarks-at-health-subcommittee-legislative-hearing-on-public-health-bills/,"Washington, D.C. — Health Subcommittee Republican Leader Brett Guthrie (R-KY) delivered the following remarks in a Health Subcommittee Hearing entitled, “Enhancing Public Health: Legislation to Protect Children and Families.”"
Press Releases,10.20.2021,Leader Rodgers Remarks at Health Subcommittee Legislative Hearing on Public Health Bills,https://republicans-energycommerce.house.gov/news/leader-rodgers-remarks-at-health-subcommittee-legislative-hearing-on-public-health-bills/,"Washington, D.C.—Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) delivered the following remarks in a Health Subcommittee Hearing entitled, “Enhancing Public Health: Legislation to Protect Children and Families.” "
Hearings,"October 27, 2021",TSCA and Public Health: Fulfilling the Promise of the Lautenberg Act,https://republicans-energycommerce.house.gov/hearings/tsca-and-public-health-fulfilling-the-promise-of-the-lautenberg-act/,https://youtu.be/ZSpJUB5vlNM
Hearings,"October 26, 2021","Caring for America: Legislation to Support Patients, Caregivers, and Providers",https://republicans-energycommerce.house.gov/hearings/caring-for-america-legislation-to-support-patients-caregivers-and-providers/,https://youtu.be/wZ8XBieJb6c
Hearings,"October 21, 2021","Offshore Wind, Onshore Benefits: Growing the Domestic Wind Energy Industry",https://republicans-energycommerce.house.gov/hearings/offshore-wind-onshore-benefits-growing-the-domestic-wind-energy-industry/,https://youtu.be/EA3vr37wPLo
Hearings,"October 20, 2021",Enhancing Public Health: Legislation to Protect Children and Families,https://republicans-energycommerce.house.gov/hearings/enhancing-public-health-legislation-to-protect-children-and-families/,https://youtu.be/7eOmQ-7k5qY
