category,date,title,url,summary
Press Releases,09.17.21,ICYMI: The Hill: How Lawmakers Aided the Afghan Evacuation,https://gop-foreignaffairs.house.gov/press-release/icymi-the-hill-how-lawmakers-aided-the-afghan-evacuation/,How lawmakers aided the Afghan evacuation
Press Releases,09.17.21,McCaul Supports New Executive Order on Ethiopia,https://gop-foreignaffairs.house.gov/press-release/mccaul-supports-new-executive-order-on-ethiopia/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has released the following statement in support of the Biden Administration’s Executive Order providing for…"
Press Releases,09.16.21,House Foreign Affairs Committee Republicans Announce New Press Secretary,https://gop-foreignaffairs.house.gov/press-release/house-foreign-affairs-committee-republicans-announce-new-press-secretary/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has announced that McLaurine Pinover will be joining the staff as press secretary. Pinover most recently served as…"
Press Releases,09.15.21,"McCaul on Defense and Nuclear Partnership with UK, Australia",https://gop-foreignaffairs.house.gov/press-release/mccaul-on-defense-and-nuclear-partnership-with-uk-australia/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has released the following statement on the newly announced Australia-United Kingdom-United States (AUKUS) defense…"
Press Releases,09.15.21,"McCaul on Iran’s “Nuclear Provocations”, Reports of Harassment of Female IAEA Inspectors",https://gop-foreignaffairs.house.gov/press-release/mccaul-on-irans-nuclear-provocations-reports-of-harassment-of-female-iaea-inspectors/,"Washington, D.C.-House Foreign Affairs Committee Lead Republican Michael McCaul has released the following statement in response to ongoing developments related to Iran’s nuclear program, including…"
Press Releases,09.15.21,McCaul Presses Secretary Blinken for Answers on Afghanistan,https://gop-foreignaffairs.house.gov/press-release/mccaul-presses-secretary-blinken-for-answers-on-afghanistan/,"Washington, D.C.- House Foreign Affairs Lead Republican Michael McCaul pressed Secretary of State Antony Blinken for answers on the Biden Administrations failed Afghanistan withdrawal at a full…"
Press Releases,09.14.21,McCaul Hires Investigator to Probe Disastrous Withdrawal from Afghanistan,https://gop-foreignaffairs.house.gov/press-release/mccaul-hires-investigator-to-probe-disastrous-withdrawal-from-afghanistan/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has hired Ryan Browne to serve as the investigator into the disastrous withdrawal from Afghanistan that has played…"
Press Releases,09.13.21,McCaul: “I Can Summarize This in One Word: Betrayal.”,https://gop-foreignaffairs.house.gov/press-release/mccaul-i-can-summarize-this-in-one-word-betrayal/,"Washington, D.C.- Today, House Foreign Affairs Committee Lead Republican Michael McCaul pressed Secretary Blinken on the Biden Administration’s failed leadership in Afghanistan at a full committee…"
Press Releases,09.12.21,McCaul Talks Afghanistan and Origins of COVID-19 on Sunday Morning Futures,https://gop-foreignaffairs.house.gov/press-release/mccaul-talks-afghanistan-and-origins-of-covid-19-on-sunday-morning-futures/,"Washington, D.C.- House Foreign Affairs Committee Lead Republican Michael McCaul joined Maria Bartiromo on Sunday Morning Futures to discuss the Biden Administration’s failure to safely withdraw…"
Markups,"Monday, September 13, 2021",Afghanistan 2001- 2021: Evaluating the Withdrawal and U.S. Policies – Part 1,https://gop-foreignaffairs.house.gov/hearing/afghanistan-2001-2021-evaluating-the-withdrawal-and-u-s-policies-part-1/,
