category,date,title,url
Markups,07/27/2021,"Full Committee Markup of H.R. 4609, H.R. 3858, H.R. 4588, H.R. 4606, H.R. 4599",https://republicans-science.house.gov/legislation/markups/full-committee-markup-nist-future-act-national-science-and-technology-strategy
News,,Science Committee Members Introduce Bipartisan Legislation to Reauthorize NIST,https://republicans-science.house.gov/news/press-releases/science-committee-members-introduce-legislation-reauthorize-nist
News,,Opening Statement of Ranking Member Stephanie Bice at Environment Subcommittee Hearing on Extreme Heat in the U.S.,https://republicans-science.house.gov/news/opening-statements/opening-statement-ranking-member-stephanie-bice-environment-subcommittee-0
News,,Opening Statement of Ranking Member Frank Lucas at Full Committee Hearing on Spectrum Needs for Observations in Earth and Space Sciences,https://republicans-science.house.gov/news/opening-statements/opening-statement-ranking-member-frank-lucas-full-committee-hearing-spectrum
News,,Chairwoman Johnson and Ranking Member Lucas Emphasize Continued Need for Effective Spectrum Management after GAO Report,https://republicans-science.house.gov/news/press-releases/chairwoman-johnson-and-ranking-member-lucas-emphasize-continued-need-effective
News,,Chairwoman Johnson and Ranking Member Lucas Introduce Legislation to Advance Engineering Biology Research,https://republicans-science.house.gov/news/press-releases/chairwoman-johnson-and-ranking-member-lucas-introduce-legislation-advance
News,,Opening Statement of Ranking Member Randy Weber at Energy Subcommittee Hearing on Equitable Energy Innovation,https://republicans-science.house.gov/news/opening-statements/opening-statement-ranking-member-randy-weber-energy-subcommittee-hearing-3
News,,Opening Statement as Prepared for Delivery by Ranking Member Jay Obernolte at Investigations and Oversight Subcommittee Hearing on COVID-19 Origins,https://republicans-science.house.gov/news/opening-statements/opening-statement-prepared-delivery-ranking-member-jay-obernolte
News,,Opening Statement of Ranking Member Frank Lucas at Investigations & Oversight Hearing on COVID-19 Origins,https://republicans-science.house.gov/news/opening-statements/opening-statement-ranking-member-frank-lucas-investigations-oversight
News,,"ICYMI: Lucas, Bice Publish Op-ed on Key American Research Investments",https://republicans-science.house.gov/news/press-releases/icymi-lucas-bice-publish-op-ed-key-american-research-investments
News,,"Lucas and Waltz Hail NIST Investigation into Surfside, Florida Tragedy",https://republicans-science.house.gov/news/press-releases/lucas-and-waltz-hail-nist-investigation-surfside-florida-tragedy
Markups,06/15/2021,Full Committee Markup of H.R. 2225 and H.R. 3593,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2225-and-hr-3593
Markups,05/13/2021,"Research and Technology Subcommittee Markup of H.R. 2225, the National Science Foundation for the Future Act",https://republicans-science.house.gov/legislation/markups/research-and-technology-subcommittee-markup-hr-2225-national-science-foundation
Markups,03/09/2021,Full Committee Markup of H.R. 144,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-144
Markups,03/12/2020,"Energy Subcommittee Markup of H.R. 6084, H.R. 6097, H.R. 4481, and H.R. 4733",https://republicans-science.house.gov/legislation/markups/energy-subcommittee-markup-hr-6084-hr-6097-hr-4481-and-hr-4733
Markups,03/04/2020,"Environment Subcommittee Markup of H.R. 5519, H.R. 4656, and H.R. 3297",https://republicans-science.house.gov/legislation/markups/environment-subcommittee-markup-hr-5519-hr-4656-and-hr-3297-0
Markups,02/12/2020,"Full Committee Markup of H.R. 2986, H.R. 4230, H.R. 5374, H.R. 5428, and H.R. 5760",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2986-hr-4230-hr-5374-hr-5428-and-hr-5760
Markups,01/29/2020,Subcommittee on Space & Aeronautics Markup of H.R. 5666,https://republicans-science.house.gov/legislation/markups/subcommittee-space-aeronautics-markup-hr-5666
Markups,01/09/2020,Full Committee Markup of H.R. 5260,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-5260
Markups,11/14/2019,"Full Committee Markup of H.R. 4979, H.R. 4704, and H.R. 4990",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4979-hr-4704-and-hr-4990
Markups,10/17/2019,"Full Committee Markup of H.R. 4091, H.R. 2051 and H.R. 1709",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4091-hr-2051-and-hr-1709
Markups,09/25/2019,"Full Committee Markup of H.R. 4373, H.R. 4372, AND H.R. 4355",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4373-hr-4372-and-hr-4355
Markups,09/11/2019,Subcommittee on Energy Markup of H.R. 4091 and H.R. 4230,https://republicans-science.house.gov/legislation/markups/subcommittee-energy-markup-hr-4091-and-hr-4230
Markups,07/24/2019,"Full Committee Markup of H.R. 3597, H.R. 3607, H.R. 3609 and H.R. 335",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-3597-hr-3607-hr-3609-and-hr-335
Markups,07/10/2019,"Subcommittee on Energy Markup of H.R. 3597, H.R. 3607, and H.R. 3609",https://republicans-science.house.gov/legislation/markups/subcommittee-energy-markup
Markups,06/20/2019,"Full Committee Markup of H.R. 2528, H.R. 36, H.R. 3196, H.R. 3153",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2528-hr-36-hr-3196-hr-3153
Markups,05/01/2019,"Full Committee Markup of H.R. 34, H.R. 1237, H.R. 1716, H.R. 1921, H.R. 988 and H.R. 2397",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-34hr-1237-hr-1716-hr-1921-hr-988-and-hr
Markups,04/09/2019,"Subcommittee on Environment Markup of H.R. 1237, H.R. 1716, H.R. 1921, AND H.R. 988",https://republicans-science.house.gov/legislation/markups/subcommittee-environment-markup-hr-1237-hr-1716-hr-1921-and-hr-988
Markups,03/27/2019,"Subcommittee on Energy Markup of H.R. 34, The Energy and Water Research Integration Act of 2019",https://republicans-science.house.gov/legislation/markups/subcommittee-energy-markup-hr-34-energy-and-water-research-integration-act-2019
Markups,07/24/2018,Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-6
Markups,07/18/2018,Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-5
Markups,06/27/2018,Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-4
Markups,05/23/2018,Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-3
Markups,04/17/2018,Full Committee Markup of H.R. 5503 and H.R. 5509,https://republicans-science.house.gov/legislation/markups/full-committee-markup-2
Markups,03/22/2018,Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-1
Markups,01/10/2018,"Full Committee Markup- H.R. 4675, the “Low Dose Radiation Research Act of 2017”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4675-low-dose-radiation-research-act-2017
Markups,11/15/2017,Full Committee Markup,https://republicans-science.house.gov/legislation/markups/full-committee-markup-0
Markups,09/28/2017,"Full Committee Markup- H.R. 1159, the ""United States and Israel Space Cooperation Act""",https://republicans-science.house.gov/legislation/markups/full-committee-markup-united-states-and-israel-space-cooperation-act
Markups,06/22/2017,Full Committee Markup-  Small Business Innovation Research and Small Business Technology Transfer Improvements Act of 2017,https://republicans-science.house.gov/legislation/markups/full-committee-markup-small-business-innovation-research-and-small-business
Markups,06/08/2017,Full Committee Markup - American Space Commerce Free Enterprise Act of 2017,https://republicans-science.house.gov/legislation/markups/full-committee-markup-american-space-commerce-free-enterprise-act-2017
Markups,05/02/2017,Full Committee Markup - NIST Small Business Cybersecurity Act of 2017,https://republicans-science.house.gov/legislation/markups/full-committee-markup-nist-small-business-cybersecurity-act-2017
Markups,03/09/2017,"Full Committee Markup- H.R. 1430, the “Honest and Open New EPA Science Treatment Act of 2017” (HONEST Act), and H.R. 1431, the “EPA Science Advisory Board Reform Act of 2017”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-honest-and-open-new-epa-science-treatment-act-2017
Markups,03/01/2017,"Full Committee Markup - H.R. 1224, the “NIST Cybersecurity Framework, Assessment, and Auditing Act of 2017”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-nist-cybersecurity-framework-assessment-and-auditing
Markups,02/07/2017,Full Committee Business Meeting - Adoption of Committee Rules and Approval of Oversight Plan,https://republicans-science.house.gov/legislation/markups/full-committee-business-meeting-adoption-committee-rules-and-approval-0
Markups,09/21/2016,"Full Committee Markup - H.R. 6076, the “To Research, Evaluate, Assess, and Treat Astronauts Act” (TREAT Astronauts Act); H.R. 6066, the “Cybersecurity Responsibility and Accountability Act of 2016”; and  H.R. 5829, the “ADVISE Now Act”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-research-evaluate-assess-and-treat-astronauts-act-treat
Markups,07/07/2016,"Full Committee Markup - “Solar Fuels Innovation Act”, “Electricity Storage Innovation Act”, “National Institute of Standards and Technology Campus Security Act”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-solar-fuels-innovation-act-electricity-storage-innovation
Hearings,07/29/2021,Space and Aeronautics Subcommittee Hearing - Enabling Mission Success from the Ground Up: Addressing NASA’s Urgent Infrastructure Needs,https://republicans-science.house.gov/legislation/hearings/space-and-aeronautics-subcommittee-hearing-enabling-mission-success-ground
Markups,05/25/2016,"Markup of H.R. 5312, the “Networking and Information Technology Research and Development Modernization Act of 2016”",https://republicans-science.house.gov/legislation/markups/markup-hr-5312-networking-and-information-technology-research-and-development
Markups,05/24/2016,"Full Committee Markup - H.R. ____, the “Networking and Information Technology Research and Development Modernization Act of 2016”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-networking-and-information-technology-research-and
