category,date,title,url,description
Press Releases,"July 22, 2021","Katko, Higgins, Pfluger Call Out Consequences of Border Wall Suspension on Small Businesses",https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"Katko, Higgins, Pfluger Call Out Consequences of Border Wall Suspension on Small Businesses WASHINGTON, DC – Rep. John Katko (R-NY), Ranking..."
Press Releases,"July 22, 2021","Katko, Higgins, Pfluger Call Out Consequences of Border Wall Suspension on Small Businesses",https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"Katko, Higgins, Pfluger Call Out Consequences of Border Wall Suspension on Small Businesses WASHINGTON, DC – Rep. John Katko (R-NY), Ranking..."
Press Releases,"July 22, 2021",Pfluger Opening Statement in Hearing on Terrorist Financing,https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"Pfluger Opening Statement in Hearing on Terrorist Financing WASHINGTON, DC – Rep. August Pfluger (R-TX), Ranking Member of the..."
Press Releases,"July 22, 2021",Katko Blasts Decision to Extend Northern Border Restrictions,https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"Katko Blasts Decision to Extend Northern Border Restrictions WASHINGTON, DC— Rep. John Katko (R-NY), Ranking Member of the House..."
Press Releases,"July 21, 2021",ICYMI: Biden Border Crisis Keeps Getting Worse,https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"ICYMI: Biden Border Crisis Keeps Getting Worse WASHINGTON, DC – The Biden Border Crisis just keeps getting worse with border encounters topping..."
Press Releases,"July 21, 2021",Katko Calls Out China’s Cyber Aggression On ABC News,https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"Katko Calls Out China’s Cyber Aggression On ABC News WASHINGTON, DC – Rep. John Katko (R-NY), Ranking Member of the House..."
Press Releases,"July 20, 2021",House Advances Homeland Security Bills to Heighten Cybersecurity & U.S. Economic Security,https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"House Advances Homeland Security Bills to Heighten Cybersecurity & U.S. Economic Security WASHINGTON, DC – The U.S. House of Representatives..."
Press Releases,"July 20, 2021",Gimenez Opening Statement on TSA’s Strategy for Summer Travel,https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"Gimenez Opening Statement on TSA’s Strategy for Summer Travel WASHINGTON, DC – Rep. Carlos Gimenez (R-FL), Ranking Member of..."
Press Releases,"July 19, 2021",WTAS: Key Industry Groups Show Support for Katko & Murphy  One-Stop Security Bill,https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"WTAS: Key Industry Groups Show Support for Katko & Murphy One-Stop Security Bill WASHINGTON, DC— Rep. John Katko (R-NY),..."
Press Releases,"July 17, 2021",“Startling Stats 8.0” Show No “Predictable Seasonal Drop” in Biden’s Border Crisis,https://republicans-homeland.house.gov/katko-higgins-pfluger-call-out-consequences-of-border-wall-suspension-on-small-businesses/,"“Startling Stats 8.0” Show No “Predictable Seasonal Drop” in Biden’s Border Crisis WASHINGTON, DC – Rep. John Katko (R-NY),..."
