category,date,title,url,summary
Majority Press Releases,"September 15, 2021","After a More Than 15-Hour Markup, Committee Advances Legislation to Invest in More Equitable and Sustainable Transportation Systems and Infrastructure",https://transportation.house.gov/news/press-releases/after-15-hour-markup-committee-advances-legislation-to-invest-in-more-equitable-and-sustainable-transportation-systems-and-infrastructure,"Washington, DC - The House Committee on Transportation and Infrastructure, led by Chair Peter DeFazio (D-OR), today advanced legislation in a vote of 37-29 to invest nearly $60 billion to make America's infrastructure more sustainable, resilient, and equitable, and to reduce carbon pollution from the transportation sector-the number one source of greenhouse gas emissions in the United States.""From tackling climate change, to addressing racial and environmental injustices, to building back … "
Majority Press Releases,"September 14, 2021",Chair DeFazio Opening Statement from Committee Markup of the Build Back Better Act ,https://transportation.house.gov/news/press-releases/chair-defazio-opening-statement-from-committee-markup-of-the-build-back-better-act-,"Washington, D.C. - The following are opening remarks, as prepared for delivery, from Chair of the House Committee on Transportation and Infrastructure Peter DeFazio (D-OR) during today's committee markup to consider the committee's portion of the Build Back Better Act. Video of DeFazio's opening statement is here. More information on the markup can be found here.Chair DeFazio:Today, we are here to deliver for the American people.We are here to Build Back Better with critical investments … "
Majority Press Releases,"September 10, 2021","DeFazio, Napolitano, and Pappas Applaud the EPA’s Plans to Limit Discharge of “Forever Chemicals”  While Calling for the Agency to Go Further to Protect Public Health",https://transportation.house.gov/news/press-releases/defazio-napolitano-and-pappas-applaud-the-epas-plans-to-limit-discharge-of-forever-chemicals_while-calling-for-the-agency-to-go-further-to-protect-public-health,"Washington, D.C. - On Wednesday, the U.S. Environmental Protection Agency (EPA) announced it will begin rewriting safeguards against polyfluoroalkyl substances (PFAS), commonly known as ""forever chemicals,"" in wastewater pollution to better protect public health and the environment. Specifically, the agency plans to revise its effluent limitations guidelines (ELGs) and pretreatment standards in the organic chemicals, plastics and synthetic fibers category to address PFAS from industrial … "
Majority Press Releases,"September 10, 2021","DeFazio, Huffman Applaud the EPA for Taking New Action to Protect Bristol Bay from the Pebble Mine Project",https://transportation.house.gov/news/press-releases/defazio-huffman-applaud-the-epa-for-taking-new-action-to-protect-bristol-bay-from-the-pebble-mine-project,"Washington, D.C. - Representatives Peter DeFazio (D-OR), Chair of the House Committee on Transportation and Infrastructure and Jared Huffman (D-CA), Chair of the Natural Resources Water, Oceans, and Wildlife Subcommittee released the following statements in response to yesterday's EPA action on Bristol Bay.""The Pebble Mine proposal was always a bad idea, and I am relieved the Biden EPA is finally taking steps to protect the indigenous and fishing communities that rely on the world's largest … "
Majority Press Releases,"September 10, 2021","Chairs DeFazio, Napolitano, and Beyer Lead 130+ House Colleagues in Applauding the EPA & Corps for Withdrawing the Trump Dirty Water Rule, Call New Rulemaking Urgent",https://transportation.house.gov/news/press-releases/chairs-defazio-napolitano-and-beyer-lead-130-house-colleagues-in-applauding-the-epa-and-corps-for-withdrawing-the-trump-dirty-water-rule-call-new-rulemaking-urgent,"In a new letter, representatives call for the swift replacement of the Dirty Water Rule: ""Now that the Court has thrown out this blatant giveaway to polluters, we call upon you to take immediate action to protect our nation's waterways for future generations.""Washington, DC - Today, Chair of the House Committee on Transportation and Infrastructure Peter DeFazio (D-OR), Chair of the Subcommittee on Water Resources and Environment Grace F. Napolitano (D-CA), Chair of the Joint Economic … "
Majority Press Releases,"September 10, 2021",House Transportation and Infrastructure Committee Announces Markup,https://transportation.house.gov/news/press-releases/house-transportation-and-infrastructure-committee-announces-markup,"Washington, DC - Today, the House Committee on Transportation and Infrastructure announced that it will hold a markup on Tuesday, September 14 at 10:00 AM EDT to consider the following measures:Legislative proposals to comply with the reconciliation directive included in section 2002 of the Concurrent Resolution on the Budget for Fiscal Year 2022, S. Con. Res. 14Other matters cleared for consideration.Members will appear by videoconference or in person in 2167 Rayburn House Office … "
Minority Press Releases,"September 15, 2021",Graves Statement from Markup of the Majority’s Partisan Budget Reconciliation Package and Spending Spree,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405604,
Minority Press Releases,"September 14, 2021",$60 Billion for the Speaker’s Partisan Budget Reconciliation Spending Spree Passes Committee,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405620,
Minority Markups,"September 14, 2021","Full Committee Markup - Budget Reconciliation II (September 14, 2021)",https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405601,
Majority Markups,Sep 14 2021,,https://transportation.house.gov/committee-activity/hearings/09/10/2021/full-committee-markup,
Majority Hearings,Sep 14 2021,,https://transportation.house.gov/committee-activity/hearings/09/10/2021/full-committee-markup,
