category,date,title,url
Majority Hearings,Nov 16 2021,,https://transportation.house.gov/committee-activity/hearings/rebuilding-coast-guard-infrastructure-to-sustain-and-enhance-mission-capability
Majority Press Releases,"November 15, 2021",Chair DeFazio Announces Hearing to Examine North American Supply Chain Challenges,https://transportation.house.gov/news/press-releases/chair-defazio-announces-hearing-to-examine-north-american-supply-chain-challenges
Majority Hearings,Nov 17 2021,,https://transportation.house.gov/committee-activity/hearings/industry-and-labor-perspectives-a-further-look-at-north-american-supply-chain-challenges
Majority Hearings,Nov 09 2021,,https://transportation.house.gov/committee-activity/hearings/does-discrimination-exist-in-federal-passenger-rail-contracting
Majority Press Releases,"November 12, 2021","Chairs DeFazio, Carbajal Announce Hearing on the U.S. Coast Guard’s Shoreside Infrastructure Backlog",https://transportation.house.gov/news/press-releases/chairs-defazio-carbajal-announce-hearing-on-the-us-coast-guards-shoreside-infrastructure-backlog
Majority Press Releases,"November 09, 2021","Chair Payne, Jr. Statement from Hearing to Examine if Discrimination Exists in Federal Passenger Rail Contracting",https://transportation.house.gov/news/press-releases/chair-payne-jr-statement-from-hearing-to-examine-if-discrimination-exists-in-federal-passenger-rail-contracting
Minority Press Releases,"November 9, 2021",Ranking Member Crawford Statement from Hearing to Examine Whether Discrimination Exists in Federal Passenger Rail Contracting ,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405670
Minority Hearings,"November 17, 2021",Industry and Labor Perspectives: A Further Look at North American Supply Chain Challenges,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405675
Minority Hearings,"November 16, 2021",Rebuilding Coast Guard Infrastructure to Sustain and Enhance Mission Capability,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405674
Minority Hearings,"November 9, 2021",Does Discrimination Exist in Federal Passenger Rail Contracting?,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405661
