Type,title,url,description
article,China Wants to Join the Trade Pact Once Designed to Counter It,https://asiasociety.org/policy-institute/china-wants-join-trade-pact-once-designed-counter-it,Wendy Cutler writes in Foreign Policy about China's bid to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP).
article,America Must Return to the Trans-Pacific Partnership,https://asiasociety.org/policy-institute/america-must-return-trans-pacific-partnership,Wendy Cutler writes in Foreign Affairs about the need for the Biden Administration to re-engage with the Trans-Pacific Partnership.
speech,Xi Jinping's Pivot to the State,https://asiasociety.org/policy-institute/xi-jinpings-pivot-state,"Kevin Rudd's remarks on the impact of ideology, demography, and decoupling on China’s new economic policy framework"
speech,Kevin Rudd Remarks to a Chinese People's Institute of Foreign Affairs Virtual Seminar,https://asiasociety.org/policy-institute/kevin-rudd-remarks-chinese-peoples-institute-foreign-affairs-virtual-seminar,Kevin Rudd delivered remarks in mandarin to a virtual seminar hosted by the Chinese People's Institute of Foreign Affairs.
article,Ideological Competition With China Is Inevitable — Like It or Not,https://asiasociety.org/policy-institute/ideological-competition-china-inevitable-it-or-not-0,Nathan Levine writes in Foreign Policy about the inevitable ideological competition between China and the U.S.
article,Why the Quad Alarms China,https://asiasociety.org/policy-institute/why-quad-alarms-china,Kevin Rudd writes that the Quad's success poses a major threat to Beijing's ambitions.
interview,"China’s Carbon Market Launch: Foundations, First Impressions and Future",https://asiasociety.org/policy-institute/chinas-carbon-market-launch-foundations-first-impressions-and-future,"Jackson Ewing, Environmental Defense Fund's Xiaolu Zhao, and SinoCarbon's Zhibin Chen discuss what China's just-launched emissions trading scheme will mean for climate change."
video,The Biden Administration & U.S.-Australia Cooperation,https://asiasociety.org/policy-institute/biden-administration-us-australia-cooperation,"Wendy Cutler is interviewed by Gordon Flake on the Biden Administration's Indo-Pacific trade policy and areas for collaboration between U.S. and Australia, among other issues. "
,Kurt Campbell: U.S. and China Can Co-Exist Peacefully,https://asiasociety.org/policy-institute/kurt-campbell-us-and-china-can-co-exist-peacefully,"The White House coordinator for the Indo-Pacific described the ""enormously difficult"" Sino-American relationship in a conversation with Kevin Rudd, Wendy Cutler, and Daniel Russel."
,Wendy Cutler's Senate Testimony on Indo-Pacific Trade,https://asiasociety.org/policy-institute/wendy-cutlers-senate-testimony-indo-pacific-trade,"Wendy Cutler says that the U.S. risks ""becoming increasingly marginalized as region forges a new future without us."""
paper,Developing Effective Benchmark-Based Allocation for Industrial Sectors: The Case of the Korean ETS,https://asiasociety.org/policy-institute/developing-effective-benchmark-based-allocation-industrial-sectors-case-korean-ets,This paper studies the most recent phase of the Korean Emissions Trading System and demonstrates how BM-based allocation was successfully implemented within some of the country’s largest and most carbon leakage-exposed industrial sectors. 
report,Catalyzing India’s Climate Ambition,https://asiasociety.org/policy-institute/catalyzing-indias-climate-ambition,"ASPI Senior Fellow Patrick Suckling sets out how the wider international community should sensitively, constructively, and intelligently work with India to catalyze greater climate ambition in the lead-up to COP26 and beyond."
article,China’s National ETS Needs High-Level Political Support to Succeed,https://asiasociety.org/policy-institute/chinas-national-ets-needs-high-level-political-support-succeed,Kevin Rudd and Alistair Ritchie write that support would drive the cross-ministry coordination needed to ensure the emissions trading system helps China achieve its climate goals.
article,Redefining the Rules,https://asiasociety.org/policy-institute/redefining-rules,ASPI Vice-President Wendy Cutler joins trade experts to discuss the latest on subsidies reform at the WTO and beyond. 
video,The Biden Administration's Worker-Centered Trade Policy,https://asiasociety.org/policy-institute/biden-administrations-worker-centered-trade-policy,Wendy Cutler and Nick Wadhams on the Biden Administration's U.S. trade policy.
article,"How to Advance Biden's Plan for Inclusion, Climate and Innovation in the Indo-Pacific",https://asiasociety.org/policy-institute/how-advance-bidens-plan-inclusion-climate-and-innovation-indo-pacific,"Wendy Cutler and Kurt Tong on how to advance inclusion, climate, and innovation in the Indo-Pacific"
