date,category,title,Tag1,Tag2,url,description
"Aug 31, 2021",Research and Reports,Extreme heat: The economic and social consequences for the United States,Climate Change & Climate Action,Resilience,https://www.atlanticcouncil.org/in-depth-research-reports/report/extreme-heat-the-economic-and-social-consequences-for-the-united-states/,A new report produced by the Atlantic Council’s Adrienne Arsht-Rockefeller Foundation Resilience Center with analysis conducted by Vivid Economics—quantifies the impacts of heat under current and future conditions.
"Aug 30, 2021",Commentary and Analysis,A moral consideration of the Taliban’s legitimacy,Afghanistan,Conflict,https://www.atlanticcouncil.org/blogs/southasiasource/a-moral-consideration-of-the-talibans-legitimacy/,"After the collapse of Ashraf Ghani’s government and the return of Taliban, the country faces multiple challenges including humanitarian crisis and Taliban legitimacy. The international community should use aid as a leverage to pressure Taliban to form an inclusive government and address humanitarian issues."
"Aug 31, 2021",Research and Reports,"Trusted connectivity: A framework for a free, open, and connected world",China,Cybersecurity,https://www.atlanticcouncil.org/in-depth-research-reports/trusted-connectivity-a-framework-for-a-free-open-and-connected-world/,"As democracies address the global demand for a free, open, and connected world while ensuring that local and global emissions targets are met, they need an organizing framework: the concept of “trusted connectivity.”"
"Aug 30, 2021",Research and Reports,Pitching Abraham’s tent: The human dimension of UAE-Israeli normalization,Economy & Business,Israel,https://www.atlanticcouncil.org/in-depth-research-reports/pitching-abrahams-tent-the-human-dimension-of-uae-israeli-normalization/,"In the past year, many have written on the normalization of relations between Israel and Arab states, focusing on economic interests and emphasizing shared security interests in the region. Case studies, however, indicate that relations between countries are improved when they encompass aspects related to the lives of citizens. Incorporating an element of cultural affinity […]"
"Aug 26, 2021",Research and Reports,Countering ransomware: Lessons from aircraft hijacking,Cybersecurity,Terrorism,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/countering-ransomware-lessons-from-aircraft-hijacking/,"Ransomware has plagued organizations for more than a decade, but the last three years have experienced a surge in both the number of incidents and the ransoms demanded. To more effectively counter ransomware, the US government should develop a strategy that draws on lessons learned from addressing a surge in aircraft hijackings through the late 1960s and early 1970s."
"Aug 27, 2021",Commentary and Analysis,What Afghanistan’s fall means for the future of NATO and Turkey,Afghanistan,Conflict,https://www.atlanticcouncil.org/blogs/turkeysource/what-afghanistans-fall-means-for-the-future-of-nato-and-turkey/,Former Turkish Ambassador Alper Coşkun joins the Atlantic Council IN TURKEY to discuss the implications of recent developments in Afghanistan to the NATO alliance  and the future of Turkey’s foreign policy and engagement with Afghanistan.
"Aug 25, 2021",Commentary and Analysis,The 5×5—Cyber capacity and conflict in Africa,Africa,Cybersecurity,https://www.atlanticcouncil.org/insight-impact/in-the-news/binnendijk-in-defense-news-heres-how-biden-could-mitigate-damage-done-by-the-afghan-withdrawal/,We brought together a panel of contributors with various perspectives on the region to break down the state of cybersecurity in Africa and explore where investments in cyber capacity could go the furthest.
"Aug 23, 2021",Commentary and Analysis,David Petraeus: ‘The Taliban are about to be acquainted with a very harsh reality—that they are broke’,,,https://www.atlanticcouncil.org/content-series/the-5x5/the-5x5-cyber-capacity-and-conflict-in-africa/,"General David Petraeus told the Atlantic Council that it is time to recognize a new reality and to move forward after Afghanistan. But, he says, the United States still has an opportunity to influence the Taliban."
"Aug 23, 2021",Commentary and Analysis,Event recap: “On the frontline: Protecting Afghanistan’s human rights defenders”,Afghanistan,Human Rights,https://www.atlanticcouncil.org/blogs/new-atlanticist/david-petraeus-the-taliban-are-about-to-be-acquainted-with-a-very-harsh-reality-that-they-are-broke/,"On August 5th, 2021, the Atlantic Council’s South Asia Center, held a discussion with some of Afghanistan’s leading human rights defenders (HRDs) and experts to explore what lies ahead for the activists who put their lives on the line to fight impunity, militancy, and violence."
"Aug 20, 2021",Commentary and Analysis,Afghanistan’s media landscape under the Taliban,Afghanistan,Conflict,https://www.atlanticcouncil.org/blogs/southasiasource/event-recap-on-the-frontline-protecting-afghanistans-human-rights-defenders/,"In this interview, the Atlantic Council’s South Asia Center and Radio Free Europe/Radio Liberty partnered for a discussion on the prospects for Afghanistan’s media sector under renewed Taliban rule. Jamie Fly, president of RFE/RL, as well as moderator Irfan Nooruddin, director of the South Asia Center, led the conversation."
"Aug 20, 2021",Commentary and Analysis,What is the key to national prosperity?,Economy & Business,Pakistan,https://www.atlanticcouncil.org/commentary/garlauskas-featured-in-nk-news-podcast-on-intelligence-failure-to-anticipate-communist-chinese-military-intervention/,"Mr. Raza Hasan’s book, Prosperity for All Nations: A Call to Action, highlights the need for effective, open, and responsive democratic government structures to help developing countries like Pakistan, and argues that national prosperity is achieved through a distributed governance structure and collective decision-making. 
This pre-recorded roundtable discussion brought together successful entrepreneurs and thought leaders with a wide range of experiences to share."
"Aug 20, 2021",Commentary and Analysis,Four scenarios of Afghanistan under the Taliban,Afghanistan,Conflict,https://www.atlanticcouncil.org/commentary/roberts-quoted-in-the-guardian-on-beijings-new-regulation-policies-aimed-at-its-tech-billionaires/,"After capturing Kabul at lightning speed—surprising analysts and security experts alike—the Taliban are now poised to assume leadership once again in Afghanistan. In lieu of these developments, four potential trajectories warrant attention in the near to medium term."
