date,label,title,url
"Tuesday, October 12, 2021",Up Front,Democratizing and technocratizing the notice-and-comment process,https://www.brookings.edu/blog/up-front/2021/10/12/democratizing-and-technocratizing-the-notice-and-comment-process/
"Tuesday, October 12, 2021",U.S. Economy,"Nobel winner David Card’s former students on how he bridged economics and the social sciences, created the most important 15 minutes of their day, and marked up papers with an X-Acto knife",https://www.marketwatch.com/story/nobel-winner-david-cards-former-students-on-how-he-bridged-economics-and-the-social-sciences-created-the-most-important-15-minutes-of-their-day-and-marked-up-papers-with-an-x-acto-knife-11633983128
"Wednesday, October 13, 2021",Brown Center Chalkboard,"To help students recover from the pandemic, education leaders must prioritize equity and evidence",https://www.brookings.edu/blog/brown-center-chalkboard/2021/10/13/to-help-students-recover-from-the-pandemic-education-leaders-must-prioritize-equity-and-evidence/
"Wednesday, October 13, 2021",,"
					Nonresident Fellow - ",https://www.brookings.edu/program/economic-studies/
"Wednesday, October 13, 2021",,"
					Director - ",https://www.brookings.edu/center/center-on-children-and-families/
"Tuesday, October 12, 2021",TechStream,Reckoning with cyberpolicy contradictions in great power politics,https://www.brookings.edu/techstream/reckoning-with-cyberpolicy-contradictions-in-great-power-politics/
"Tuesday, October 12, 2021",Future Development,Asia’s consumer map is being redrawn,https://www.brookings.edu/blog/future-development/2021/10/12/asias-consumer-map-is-being-redrawn/
"Tuesday, October 12, 2021",Up Front,Six reasons why an expanded Child Tax Credit or child allowance should be part of the US safety net,https://www.brookings.edu/blog/up-front/2021/10/12/six-reasons-why-an-expanded-child-tax-credit-or-child-allowance-should-be-part-of-the-u-s-safety-net/
"Tuesday, October 12, 2021",,"
					Visiting Fellow - ",https://www.brookings.edu/program/metropolitan-policy-program/
"Tuesday, October 12, 2021",The Avenue,Legacy cities can think big for transformative impact with ARP funds,https://www.brookings.edu/blog/the-avenue/2021/10/12/legacy-cities-can-think-big-for-transformative-impact-with-arp-funds/
"Tuesday, October 12, 2021",The Avenue,Stronger and more frequent hurricanes threaten job growth in coastal counties,https://www.brookings.edu/blog/the-avenue/2021/10/12/stronger-and-more-frequent-hurricanes-threaten-job-growth-in-coastal-counties/
"Wednesday, October 13, 2021",Order from Chaos,How are people feeling in the “most dangerous place on Earth”?,https://www.brookings.edu/blog/order-from-chaos/2021/10/13/how-are-people-feeling-in-the-most-dangerous-place-on-earth/
