date,url,title
"April 25, 2022",https://www.fcc.gov/document/carr-challenges-apple-privacy-human-right-china,"Carr Challenges Apple on Privacy, Human Right in China"
"April 21, 2022",https://www.fcc.gov/document/fcc-launches-proceeding-promoting-receiver-performance-0,FCC Launches Proceeding on Promoting Receiver Performance
"April 21, 2022",https://www.fcc.gov/document/fcc-proposes-public-wireless-emergency-alerts-performance-reporting-0,FCC Proposes Public Wireless Emergency Alerts Performance Reporting
"April 21, 2022",https://www.fcc.gov/document/fcc-proposes-660k-fine-against-truphone-foreign-ownership-case,FCC Proposes $660K Fine Against Truphone in Foreign Ownership Case
"April 21, 2022",https://www.fcc.gov/document/fcc-seeks-partners-local-wireless-emergency-alert-tests,FCC Seeks Partners for Local Wireless Emergency Alert Tests
"April 20, 2022",https://www.fcc.gov/document/deletion-items-april-21-2022-open-meeting,"Deletion of Items From April 21, 2022 Open Meeting"
"April 19, 2022",https://www.fcc.gov/document/revised-procedure-state-department-review-subcable-applications,Revised Procedure For State Department Review of Subcable Applications
"April 19, 2022",https://www.fcc.gov/document/fcc-dismisses-and-denies-application-review-filed-positive-hope,FCC Dismisses and Denies Application For Review Filed By Positive Hope
"April 19, 2022",https://www.fcc.gov/document/fcc-commits-37m-emergency-connectivity-funding,FCC Commits $37M In Emergency Connectivity Funding
"April 19, 2022",https://www.fcc.gov/document/fcc-tentatively-selects-tribal-applicant-noncommercial-fm-permit,FCC Tentatively Selects Tribal Applicant for Noncommercial FM Permit
