date,content
"Tue, Jun  1, 2021","Mr. Angus S. King, Jr., from the State of Maine, called the 
Senate to order at 11:30 a.m.
Under the authority of the order of Friday, May 28, 2021, at 
11:30 a.m. the ACTING PRESIDENT pro tempore declared the Senate adjourned,
under its order of Friday, May 28, 2021, until 11 a.m. on Thursday, June 3
, 2021.
"
"Wed, May 26, 2021","Ms. Tina Smith, from the State of Minnesota, called the 
Senate to order at 10:30 a.m., the Chaplain offered a prayer, and Ms. 
Smith led the Senate in reciting the Pledge of Allegiance to the Flag of 
the United States of America.
Pursuant to the order of yesterday, the Journal of the 
proceedings of the Senate was deemed approved to date. 
Pursuant to the order of yesterday, 
the morning hour being deemed expired, and the times for the recognition 
of the two leaders being reserved.
The following transactions of morning business occurred on today.
By unanimous consent, on the request of Mr. Schumer, at 
11:01 p.m., the Senate adjourned, under its order of today, until 
10 a.m. tomorrow.
"
"Tue, Jun  8, 2021","Mr. Raphael G. Warnock, from the State of Georgia, called the 
Senate to order at 10 a.m., the Chaplain offered a prayer, and Mr. 
Warnock led the Senate in reciting the Pledge of Allegiance to the Flag 
of the United States of America.
Pursuant to the order of yesterday, the Journal of the 
proceedings of the Senate was deemed approved to date. 
Pursuant to the order of yesterday, 
the morning hour being deemed expired, and the times for the recognition 
of the two leaders being reserved.
The following transactions of morning business occurred on today.
By unanimous consent, on the request of Mr. Schumer, at  
7:52 p.m., the Senate adjourned, under its order of today, until 
10:30 a.m. tomorrow.
"
"Mon, Jun  7, 2021","Ms. Mazie K. Hirono, from the State of Hawaii, called the 
Senate to order at  3 p.m., the Chaplain offered a prayer, and Ms. Hirono
led the Senate in reciting the Pledge of Allegiance to the Flag of the 
United States of America.
Pursuant to the order of Thursday, June 3, 2021,  the Journal of
the proceedings of the Senate was deemed approved to date. 
Pursuant to the order of Thursday, June 3, 2021, 
the morning hour being deemed expired, and the times for the recognition 
of the two leaders being reserved.
The following transactions of morning business occurred on today
.
By unanimous consent, on the request of Mr. Schumer, at  
7:18 p.m., the Senate adjourned, under its order of today, until 
10 a.m. tomorrow.
"
"Thu, Jun  3, 2021","Mr. Benjamin L. Cardin, from the State of Maryland, called 
the Senate to order at 11 a.m.
Under the authority of the order of Tuesday, June 1, 2021, at 
11:00 a.m. the ACTING PRESIDENT pro tempore declared the Senate adjourned,
under its order of Tuesday, June 1, 2021, until  3 p.m. on Monday, June 7,
2021.
"
"Thu, May 27, 2021","Ms. Jacky Rosen, from the State of Nevada, called the Senate 
to order at 10 a.m., the Chaplain offered a prayer, and Ms. Rosen led the
Senate in reciting the Pledge of Allegiance to the Flag of the United 
States of America.
Pursuant to the order of yesterday, the Journal of the 
proceedings of the Senate was deemed approved to date. 
Pursuant to the order of yesterday,
the morning hour being deemed expired, and the times for the recognition 
of the two leaders being reserved.
The following transactions of morning business occurred on today
.
By unanimous consent, on the request of Mr. Durbin, at  
2:51 a.m., the Senate adjourned, under its order of today, until  
9 a.m. tomorrow.
"
"Fri, May 28, 2021","Mr. Chris Van Hollen, from the State of Maryland, called the 
Senate to order at  9 a.m., the Chaplain offered a prayer, and Mr. Van 
Hollen led the Senate in reciting the Pledge of Allegiance to the Flag of
the United States of America.
Pursuant to the order of yesterday, the Journal of the 
proceedings of the Senate was deemed approved to date. 
Pursuant to the order of yesterday,
the morning hour being deemed expired, and the times for the recognition 
of the two leaders being reserved.
The following transactions of morning business occurred on today
.
Under the authority of the order of today, at 12:52 p.m, 
the Presiding Officer (Ms. Cortez Masto in the chair) declared the
Senate adjourned, under its order of today, until 11:30 a.m. on 
Tuesday, June 1, 2021.
"
"Wed, Jun  9, 2021","Mr. Ben Ray Lujan, from the State of New Mexico, called the 
Senate to order at 10:30 a.m., the Chaplain offered a prayer, and Mr. 
Lujan led the Senate in reciting the Pledge of Allegiance to the Flag of 
the United States of America.
Pursuant to the order of yesterday, the Journal of the 
proceedings of the Senate was deemed approved to date. 
Pursuant to the order of yesterday, 
the morning hour being deemed expired, and the times for the recognition 
of the two leaders being reserved.
The following transactions of morning business occurred on today.
By unanimous consent, on the request of Mr. Schumer, at  
5:02 p.m., the Senate adjourned, under its order of today, until 
10:30 a.m. tomorrow.
"
"Thu, Jun 10, 2021","Ms. Jacky Rosen, from the State of Nevada, called the Senate 
to order at 10:30 a.m., the Chaplain offered a prayer, and Ms. Rosen led 
the Senate in reciting the Pledge of Allegiance to the Flag of the United 
States of America.
Pursuant to the order of yesterday, the Journal of the 
proceedings of the Senate was deemed approved to date. 
Pursuant to the order of yesterday, 
the morning hour being deemed expired, and the times for the recognition 
of the two leaders being reserved.
The following transactions of morning business occurred on today.
By unanimous consent, on the request of Ms. Cortez Masto, 
at  4:10 p.m., the Senate adjourned, under its order of today, 
until  3 p.m. on Monday, June 14, 2021.
"
"Mon, Jun 14, 2021","The President pro tempore called the Senate to order at  3 p.m., the Chaplain offered a prayer, and the President pro tempore led the 
Senate in reciting the Pledge of Allegiance to the Flag of the United 
States of America.
Pursuant to the order of Thursday, June 10, 2021,  the Journal 
of the proceedings of the Senate was deemed approved to date. 
Pursuant to the order of Thursday, June 10, 2021, 
the morning hour being deemed expired, and the times for the recognition 
of the two leaders being reserved.
The following transactions of morning business occurred on today.
By unanimous consent, on the request of Mr. Schumer, at  
7:28 p.m., the Senate adjourned, under its order of today, until 
10 a.m. tomorrow.
"
