category,date,title,url,summary
Hearings,05/13/2022,Field Hearing: Developing the Aviation Workforce of the 21st Century,https://www.commerce.senate.gov/2022/5/developing-the-aviation-workforce-of-the-21st-century,"U.S. Senator Kyrsten Sinema (D-Ariz.), Chair of the Subcommittee on Aviation Safety, Operations, and Innovation, will convene a field hearing titled “Developing the Aviation Workforce of the 21st Century” on Friday, May 13, 2022, at 11:00 a.m. MST."
Markups,05/11/2022,Executive Session ,https://www.commerce.senate.gov/2022/5/executive-session,"U.S. Senator Maria Cantwell (D-Wash.), Chair of the Committee on Commerce, Science, and Transportation, will convene an Executive Session at 10 a.m. EDT on Wednesday, May 11, 2022, to consider several pieces of legislation.    "
Hearings,05/12/2022,Conference Committee on Bipartisan Innovation and Competition Legislation ,https://www.commerce.senate.gov/2022/5/conference-committee-on-bipartisan-innovation-and-competition-legislation/09f47b9c-1609-4129-9704-5cde059883a3,"The 107-member Conference Committee is tasked with reconciling differences between the Senate’s United States Innovation and Competition Act (USICA) and the House’s America COMPETES Act, which will culminate in a conference report. During the meeting, conference committee members will each have an opportunity to speak about their priorities for this legislation."
Hearings,05/11/2022,Executive Session ,https://www.commerce.senate.gov/2022/5/executive-session,"U.S. Senator Maria Cantwell (D-Wash.), Chair of the Committee on Commerce, Science, and Transportation, will convene an Executive Session at 10 a.m. EDT on Wednesday, May 11, 2022, to consider several pieces of legislation.    "
Press Release,05/13/2022,Conference Committee Meets to Kick Off Negotiations ,https://www.commerce.senate.gov/2022/5/conference-committee-meets-to-kick-off-negotiations,"U.S. Senator Maria Cantwell, (D-Wash.), Chair of the Committee on Commerce, Science, and Transportation, today chaired a public meeting to kick off the Senate and House Conference Committee on bipartisan innovation and competition legislation, H.R. 4521. "
Press Release,05/13/2022,"Spiking West Coast Gas Prices Spur Cantwell, Feinstein, Wyden to Introduce Bill Targeting Fuel Market Anomalies Hurting Consumers",https://www.commerce.senate.gov/2022/5/spiking-west-coast-gas-prices-spur-cantwell-feinstein-wyden-to-introduce-bill-targeting-fuel-market-anomalies-hurting-consumers,"With Americans facing record level gas and diesel price increases, U.S. Senator Maria Cantwell (D-WA), Chair of the Committee on Commerce, Science, and Transportation, introduced legislation that would significantly increase transportation fuel market transparency and directs the Federal Trade Commission (FTC) to proactively monitor and prevent any fraud or manipulation that may be artificially inflating pump prices.  "
Press Release,05/12/2022,"Wicker, McMorris Rodgers Raise Concern Over Secretary Raimondo’s Statement on BEAD Program",https://www.commerce.senate.gov/2022/5/wicker-mcmorris-rodgers-raise-concern-over-secretary-raimondo-s-statement-on-bead-program,"WASHINGTON – U.S. Senator Roger Wicker, R-Miss., ranking member of the Senate Committee on Commerce, Science, and Transportation, and U.S. Representative Cathy McMorris Rodgers, R-Wash., ranking member of the House Committee on Energy and Commerce, today sent a letter to Department of Commerce Secretary Gina Raimondo regarding her disconcerting statement that areas already committed to receive federal broadband funding could be eligible for additional funds during yesterday’s Senate Appropriations Committee hearing."
Press Release,05/11/2022,"Cantwell-Led Bill to Restore FTC Authority to Return Money to Victims of Scams, Fraud, Deception Moves Forward ",https://www.commerce.senate.gov/2022/5/cantwell-led-bill-to-restore-ftc-authority-to-return-money-to-victims-of-scams-fraud-deception-moves-forward,"U.S. Senator Maria Cantwell, (D-Wash.), Chair of the Committee on Commerce, Science, and Transportation, announced that today Democrats advanced the Consumer Protection Remedies Act of 2022 out of the Commerce Committee and to the Senate Floor. "
Press Release,05/11/2022,"Cantwell Applauds Senate Confirmation of Final FTC Member, Unlocking New Opportunities to Protect Consumers",https://www.commerce.senate.gov/2022/5/cantwell-applauds-senate-confirmation-of-final-ftc-member-unlocking-new-opportunities-to-protect-consumers,"Today, the U.S. Senate confirmed Alvaro Bedoya’s as a Commissioner of the Federal Trade Commission (FTC). "
Press Release,05/11/2022,"Commerce Committee Approves Consumer Protection, Supply Chain Legislation",https://www.commerce.senate.gov/2022/5/commerce-committee-approves-consumer-protection-supply-chain-legislation,"The U.S. Senate Committee on Commerce, Science, and Transportation approved several consumer protection, supply chain and environmental bills today, as well as voting unanimously in favor of Admiral Linda Fagan’s nomination to serve as Commandant of the United States Coast Guard. "
