,question,Title,votenumber,yeas,nays,date,issue,result
0, . ,Barrasso Amdt. No. 2180; To limit the use of certain funds made available for grants to enable the sustained cost-effective implementation of updated building energy codes.,00293,45,48,02-Aug,H.R. 3684,Rejected
1, . ,Thune Amdt. No. 2162; To address the workforce needs of the telecommunications industry.,00292,95,1,02-Aug,H.R. 3684,Agreed to
2, . ,"Padilla Amdt. No. 2133; To amend the Indian Health Care Improvement Act to expand the funding authority for renovating, constructing, and expanding certain facilities.",00291,90,7,02-Aug,H.R. 3684,Agreed to
3,On the Nomination,"Confirmation: Ur Mendoza Jaddou, of California, to be Director of the United States Citizenship and Immigration Services, Department of Homeland Security",00290,47,34,30-Jul,PN369,Confirmed
4,On the Cloture Motion,"Motion to Invoke Cloture: Ur Mendoza Jaddou to be Director of the United States Citizenship and Immigration Services, Department of Homeland Security",00289,50,41,30-Jul,PN369,Agreed to
5,On the Motion to Proceed,"Motion to Proceed to H.R. 3684; A bill to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",00288,66,28,30-Jul,H.R. 3684,Agreed to
6,On Passage of the Bill,"H.R. 3237, As Amended; A bill making emergency supplemental appropriations for the fiscal year ending September 30, 2021, and for other purposes.",00287,98,0,29-Jul,H.R. 3237,Passed
7, . ,Motion to Waive All Applicable Budgetary Discipline Re: Leahy Amdt. No. 2123; In the nature of a substitute.,00286,72,26,29-Jul,H.R. 3237,Agreed to
8,On Cloture on the Motion to Proceed,"Upon Reconsideration, Motion to Invoke Cloture on the Motion to Proceed to H.R. 3684; A bill to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",00285,67,32,28-Jul,H.R. 3684,Agreed to
9,On the Nomination,"Confirmation: David M. Prouty, of Maryland, to be a Member of the National Labor Relations Board",00284,53,46,28-Jul,PN739,Confirmed
10,On the Cloture Motion,Motion to Invoke Cloture: David M. Prouty to be a Member of the National Labor Relations Board,00283,53,46,28-Jul,PN739,Agreed to
11,On the Nomination,"Confirmation: Gwynne A. Wilcox, of New York, to be a Member of the National Labor Relations Board",00282,52,47,28-Jul,PN609,Confirmed
12,On the Cloture Motion,Motion to Invoke Cloture: Gwynne A. Wilcox to be a Member of the National Labor Relations Board,00281,52,47,28-Jul,PN609,Agreed to
13,On the Motion to Discharge,"Motion to Discharge: Tracy Stone-Manning to be Director of the Bureau of Land Management, from the Committee on Energy and Natural Resources",00280,50,49,27-Jul,PN443,Agreed to
14,On the Nomination,"Confirmation: Todd Sunhwae Kim, of the District of Columbia, to be an Assistant Attorney General",00279,58,41,27-Jul,PN250,Confirmed
15,On the Cloture Motion,Motion to Invoke Cloture: Todd Sunhwae Kim to be an Assistant Attorney General,00278,54,40,26-Jul,PN250,Agreed to
16,On the Nomination,"Confirmation: Jill Hruby, of New Mexico, to be Under Secretary for Nuclear Security, Department of Energy",00277,79,16,22-Jul,PN401,Confirmed
17,On Cloture on the Motion to Proceed,"Motion to Invoke Cloture: Motion to Proceed to H.R. 3684; A bill to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",00276,49,51,21-Jul,H.R. 3684,Rejected
18,On the Nomination,"Confirmation: Bonnie D. Jenkins, of New York, to be Under Secretary of State for Arms Control and International Security",00275,52,48,21-Jul,PN242,Confirmed
19,On the Cloture Motion,Motion to Invoke Cloture: Bonnie D. Jenkins to be Under Secretary of State for Arms Control and International Security ,00274,52,48,21-Jul,PN242,Agreed to
20,On the Nomination,"Confirmation: Jennifer Ann Abruzzo, of New York, to be General Counsel of the National Labor Relations Board",00273,50,50,21-Jul,PN126,Confirmed
21,On Passage of the Bill,"H.R. 1652; A bill to deposit certain funds into the Crime Victims Fund, to waive matching requirements, and for other purposes.",00272,100,0,20-Jul,H.R. 1652,Passed
22, . ,"Toomey Amdt No. 2121, As Modified; To ensure adequate funding in the Crime Victims Fund is disbursed to victims, their families, and their advocates each year.",00271,40,60,20-Jul,H.R. 1652,Rejected
23,On the Nomination,"Confirmation: Kenneth Allen Polite, Jr., of Louisiana, to be an Assistant Attorney General",00270,56,44,20-Jul,PN423,Confirmed
24,On the Cloture Motion,Motion to Invoke Cloture: Jennifer Ann Abruzzo to be General Counsel of the National Labor Relations Board,00269,50,50,20-Jul,PN126,Agreed to
25,On the Cloture Motion,"Motion to Invoke Cloture: Kenneth Allen Polite, Jr. to be an Assistant Attorney General",00268,57,43,20-Jul,PN423,Agreed to
26,On the Nomination,"Confirmation: Tiffany P. Cunningham, of Illinois, to be United States Circuit Judge for the Federal Circuit",00267,63,33,19-Jul,PN389,Confirmed
27,On the Cloture Motion,Motion to Invoke Cloture: Tiffany P. Cunningham to be United States Circuit Judge for the Federal Circuit,00266,63,34,15-Jul,PN389,Agreed to
28,On the Nomination,"Confirmation: Donald Michael Remy, of Louisiana, to be Deputy Secretary of Veterans Affairs",00265,91,8,15-Jul,PN460,Confirmed
29,On the Nomination,"Confirmation: J. Nellie Liang, of Maryland, to be an Under Secretary of the Treasury",00264,72,27,15-Jul,PN414,Confirmed
