category,date,url,title
majority,02/15/22,https://www.finance.senate.gov/chairmans-news/wyden-statement-following-treasury-irs-briefing-on-tax-filing-season,"Wyden Statement Following Treasury, IRS Briefing on Tax-Filing Season"
minority,02/17/22,https://www.finance.senate.gov/ranking-members-news/senate-republicans-on-record-high-inflation,Senate Republicans on Record-High Inflation
majority,02/15/22,https://www.finance.senate.gov/chairmans-news/wyden-brown-and-warren-urge-labor-department-to-help-state-unemployment-insurance-programs-transition-away-from-private-facial-recognition-contractors,"Wyden, Brown and Warren Urge Labor Department to Help State Unemployment Insurance Programs Transition Away from Private Facial Recognition Contractors"
majority,02/15/22,https://www.finance.senate.gov/chairmans-news/wyden-statement-at-finance-committee-hearing-on-protecting-youth-mental-health-identifying-and-addressing-barriers-to-care,Wyden Statement at Finance Committee Hearing on Protecting Youth Mental Health: Identifying and Addressing Barriers to Care
majority,02/15/22,https://www.finance.senate.gov/download/letter-to-dol-on-digital-identity-021522,Letter to DOL on Digital Identity 02.15.22
minority,02/17/22,https://www.finance.senate.gov/ranking-members-news/finance-committee-republicans-voice-concerns-with-recent-oecd-developments-stress-need-for-additional-engagement,"Finance Committee Republicans Voice Concerns with Recent OECD Developments, Stress Need for Additional Engagement"
minority,02/17/22,https://www.finance.senate.gov/ranking-members-news/crapo-statement-at-hearing-on-irs-customer-service-challenges,Crapo Statement at Hearing on IRS Customer Service Challenges
minority,02/16/22,https://www.finance.senate.gov/ranking-members-news/crapo-self-inflicted-inflation-crisis,Crapo: Self-Inflicted Inflation Crisis
minority,02/15/22,https://www.finance.senate.gov/ranking-members-news/finance-committee-republicans-request-information-on-the-adverse-effects-of-high-persistent-inflation-on-the-federal-budget,"Finance Committee Republicans Request Information on the Adverse Effects of High, Persistent Inflation on the Federal Budget"
minority,02/15/22,https://www.finance.senate.gov/ranking-members-news/crapo-statement-at-hearing-on-youth-mental-healthpartii,Crapo Statement at Hearing on Youth Mental Health
minority,02/15/22,https://www.finance.senate.gov/ranking-members-news/crapo-inflation-continues-to-hammer-americans,Crapo: Inflation Continues to Hammer Americans
hearings,02/17/22,https://www.finance.senate.gov/hearings/spotlighting-irs-customer-service-challenges,Spotlighting IRS Customer Service Challenges
hearings,02/15/22,https://www.finance.senate.gov/hearings/protecting-youth-mental-health-part-ii_-identifying-and-addressing-barriers-to-care,Protecting Youth Mental Health: Part II - Identifying and Addressing Barriers to Care
