category,date,url,content
Legislation,09/29/21,https://www.congress.gov/bill/117th-congress/house-bill/4250,War Crimes Rewards Expansion Act
Legislation,09/29/21,https://www.congress.gov/bill/117th-congress/senate-resolution/394,A resolution recognizing the 25th anniversary of Radio Free Asia and its mission to provide an independent source of news to closed societies in Asia.
Legislation,09/29/21,https://www.congress.gov/bill/117th-congress/house-bill/1228,Libya Stabilization Act
Legislation,09/29/21,https://www.congress.gov/bill/117th-congress/house-bill/4686,Cambodia Democracy Act of 2021
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-resolution/390,A resolution expressing appreciation for the State of Qatar's efforts to assist the United States during Operation Allies Refuge.
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-bill/2880,A bill to amend the National Defense Authorization Act for Fiscal Year 2020 to modify certain deadlines relating to the Commission on Combating Synthetic Opioid Trafficking.
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-resolution/391,"A resolution expressing concern about the rise in illicit mining and trafficking of gold in Latin America and the pervasive problem that such mining poses for the security, stability, and environment of the region."
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-bill/2876,"A bill to prioritize the efforts of, and to enhance coordination among, United States agencies to encourage countries in Central and Eastern Europe to improve the security of their telecommunications networks, and for other purposes."
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-bill/2878,"A bill to codify in statute the establishment of the Office of Global Women's Issues and the Women's Global Development and Prosperity Initiative, and for other purposes."
Legislation,09/27/21,https://www.congress.gov/bill/117th-congress/senate-bill/2863,"A bill to require the imposition of sanctions with respect to the Taliban and persons assisting the Taliban in Afghanistan, and for other purposes."
Legislation,09/27/21,https://www.congress.gov/bill/117th-congress/senate-resolution/387,A resolution recognizing the 60th anniversary of the Peace Corps and commending the volunteers who have dedicated their lives to making a difference in the world.
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/934,"Mark Gitenstein, of Washington, to be Representative of the United States of America to the European Union, with the rank and status of Ambassador Extraordinary and Plenipotentiary."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/1008, 08/09/2021
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/550,"Jessica Lewis, of Ohio, to be an Assistant Secretary of State (Political-Military Affairs), vice R. Clarke Cooper."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/781,"Jack A. Markell, of Delaware, to be Representative of the United States of America to the Organization for Economic Cooperation and Development, with the rank of Ambassador."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/446,"Monica P. Medina, of Maryland, to be Assistant Secretary of State for Oceans and International Environmental and Scientific Affairs, vice Kerri-Ann Jones, resigned."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/548,"Karen Erika Donfried, of the District of Columbia, to be an Assistant Secretary of State (European Affairs and Eurasian Affairs), vice A. Wess Mitchell, resigned."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/447,"Todd D. Robinson, of New Jersey, a Career Member of the Senior Foreign Service, Class of Career Minister, to be an Assistant Secretary of State (International Narcotics and Law Enforcement Affairs), vice Kirsten Dawn Madison."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/545,"Mary Catherine Phee, of Illinois, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be an Assistant Secretary of State (African Affairs), vice Tibor Peter Nagy, Jr."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/872,"Jeffry Lane Flake, of Arizona, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Turkey."
