category,date,url,title
majority,7/20/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-colleagues-introduce-bipartisan-bill-to-ensure-national-cyber-director-can-secure-personnel-to-help-bolster-cybersecurity-,Peters & Colleagues Introduce Bipartisan Bill to Ensure National Cyber Director Can Secure Personnel to Help Bolster Cybersecurity
majority,7/20/21,http://www.hsgac.senate.gov/media/majority-media/peters-announces-investigation-into-rise-of-ransomware-attacks-and-how-cryptocurrencies-facilitate-cybercrimes,Peters Announces Investigation Into Rise of Ransomware Attacks and How Cryptocurrencies Facilitate Cybercrimes
majority,7/19/21,http://www.hsgac.senate.gov/media/majority-media/peters-statement-on-announcement-that-the-chinese-government-continues-to-encourage-and-perpetrate-widespread-cyber_attacks,Peters Statement on Announcement that the Chinese Government Continues to Encourage and Perpetrate Widespread Cyber -Attacks
majority,7/15/21,http://www.hsgac.senate.gov/media/majority-media/michigan-delegation-members-commend-quick-decision-from-president-biden-declaring-a-major-disaster-for-washtenaw-and-wayne-counties,Michigan Delegation Members Commend Quick Decision from President Biden Declaring a Major Disaster for Washtenaw and Wayne Counties
majority,7/15/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-portman-bipartisan-legislation-to-protect-fema-reservists-jobs-during-disaster-response-advances-in-senate,Peters and Portman Bipartisan Legislation to Protect FEMA Reservists' Jobs During Disaster Response Advances in Senate
minority,7/20/21,http://www.hsgac.senate.gov/media/minority-media/portman-sinema-peters-king-rounds-introduce-legislation-to-ensure-national-cyber-director-can-receive-detailees-to-help-improve-cybersecurity-policy,"Portman, Sinema, Peters, King, Rounds Introduce Legislation to Ensure National Cyber Director Can Receive Detailees to Help Improve Cybersecurity Policy"
minority,7/16/21,http://www.hsgac.senate.gov/media/minority-media/portman-statement-on-june-2021-cbp-operational-data-showing-worst-migrant-crisis-in-two-decades-continuing-to-worsen,Portman Statement on June 2021 CBP Operational Data Showing Worst Migrant Crisis in Two Decades Continuing to Worsen
hearings,7/28/21,http://www.hsgac.senate.gov/hearings/07/28/2021/business-meeting-,Business Meeting : Business Meeting
hearings,7/27/21,http://www.hsgac.senate.gov/hearings/resources-and-authorities-needed-to-protect-and-secure-the-homeland,Full Committee Hearing : Resources and Authorities Needed to Protect and Secure the Homeland
hearings,7/15/21,http://www.hsgac.senate.gov/hearings/nominations-of-robert-l-santos-to-be-director-us-census-bureau-us-department-of-commerce-and-ed-gonzalez-to-be-assistant-secretary-for-immigration-and-customs-enforcement-us-department-of-homeland-security,"Full Committee Hearing : Nominations of Robert L. Santos to be Director, U.S. Census Bureau, U.S. Department of Commerce, and Ed Gonzalez to be Assistant Secretary for Immigration and Customs Enforcement, U.S. Department of Homeland Security"
minority,7/15/21,http://www.hsgac.senate.gov/media/minority-media/national-business-and-union-leaders-support-portmans-bipartisan-federal-permitting-reform-and-jobs-act-to-improve-federal-permitting-process-and-create-jobs,National Business and Union Leaders Support Portman’s Bipartisan Federal Permitting Reform and Jobs Act to Improve Federal Permitting Process & Create Jobs
minority,7/15/21,http://www.hsgac.senate.gov/media/minority-media/portman-presses-ice-nominee-on-state-and-local-partnerships-decrease-in-ice-arrests-under-biden-administration,"Portman Presses ICE Nominee on State & Local Partnerships, Decrease in ICE Arrests Under Biden Administration"
minority,7/15/21,http://www.hsgac.senate.gov/media/minority-media/portman-ice-will-be-dealing-with-the-ramifications-of-this-border-crisis-for-many-years-to-come,Portman: ICE Will Be Dealing with the Ramifications of this Border Crisis for Many Years to Come
minority,7/15/21,http://www.hsgac.senate.gov/media/minority-media/portman-peters-bipartisan-legislation-to-protect-fema-reservists-jobs-during-disaster-response-advances-in-senate,"Portman, Peters Bipartisan Legislation to Protect FEMA Reservists' Jobs During Disaster Response Advances in Senate"
