category,date,url,title
majority,7/30/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-portman-introduce-bipartisan-legislation-to-help-improve-federal-workforces-understanding-of-artificial-intelligence,Peters and Portman Introduce Bipartisan Legislation to Help Improve Federal Workforce’s Understanding of Artificial Intelligence
majority,7/30/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-ernst-bipartisan-legislation-to-expand-federal-contracting-opportunities-for-small-businesses-passes-senate,Peters and Ernst Bipartisan Legislation to Expand Federal Contracting Opportunities for Small Businesses Passes Senate
majority,7/30/21,http://www.hsgac.senate.gov/media/majority-media/peters-sullivan-hassan-and-tillis-bipartisan-bill-to-protect-firefighters-from-hazardous-pfas-chemicals-passes-senate-,"Peters, Sullivan, Hassan & Tillis Bipartisan Bill to Protect Firefighters from Hazardous PFAS Chemicals Passes Senate"
majority,7/29/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-portman-introduce-bipartisan-legislation-to-create-task-force-at-dhs-to-combat-deepfakes,Peters and Portman Introduce Bipartisan Legislation to Create Task Force at DHS to Combat Deepfakes
hearings,8/05/21,http://www.hsgac.senate.gov/hearings/examining-the-threat-of-racially-ethnically-religiously-and-politically-motivated-attacks-part-ii,"Full Committee Hearing : Domestic Terrorism and Violent Extremism: Examining the Threat of Racially, Ethnically, Religiously, and Politically Motivated Attacks, Part II"
hearings,8/04/21,http://www.hsgac.senate.gov/08/04/2021/business-meeting-,Business Meeting : Business Meeting
hearings,8/03/21,http://www.hsgac.senate.gov/hearings/domestic-terrorism-and-violent-extremism-examining-the-threat-of-racially-ethnically-religiously-and-politically-motivated-attacks-part-i,"Full Committee Hearing : Domestic Terrorism and Violent Extremism: Examining the Threat of Racially, Ethnically, Religiously, and Politically Motivated Attacks, Part I"
hearings,7/28/21,http://www.hsgac.senate.gov/hearings/07/28/2021/business-meeting-,Business Meeting : POSTPONED: Business Meeting
minority,8/3/21,http://www.hsgac.senate.gov/media/minority-media/portman-at-hearing-on-domestic-terrorism-and-violent-extremism-it-is-important-that-we-recognize-all-communities-that-have-been-impacted,Portman at Hearing on Domestic Terrorism & Violent Extremism: It is Important That We Recognize All Communities That Have Been Impacted
minority,8/3/21,http://www.hsgac.senate.gov/media/minority-media/new-bipartisan-portman-peters-report-shows-federal-agencies-cybersecurity-failures-leaving-americans-personal-information-at-risk,New Bipartisan Portman-Peters Report Shows Federal Agencies’ Cybersecurity Failures Leaving Americans’ Personal Information at Risk
minority,8/2/21,http://www.hsgac.senate.gov/media/minority-media/portman-sinema-king-rounds-hassan-romney-announce-more-than-20-million-for-the-office-of-national-cyber-director-included-in-the-infrastructure-investment-and-jobs-act,"Portman, Sinema, King, Rounds, Hassan, Romney Announce More Than $20 Million for the Office of National Cyber Director Included in the Infrastructure Investment & Jobs Act"
minority,7/30/21,http://www.hsgac.senate.gov/media/minority-media/portman-peters-introduce-bipartisan-legislation-to-help-improve-federal-workforces-understanding-of-artificial-intelligence,"Portman, Peters Introduce Bipartisan Legislation to Help Improve Federal Workforce’s Understanding of Artificial Intelligence"
minority,7/30/21,http://www.hsgac.senate.gov/media/minority-media/tech-leaders-support-portmans-bipartisan-deepfake-task-force-act-to-create-task-force-at-dhs-to-combat-deepfakes,Tech Leaders Support Portman’s Bipartisan Deepfake Task Force Act to Create Task Force at DHS to Combat Deepfakes
minority,7/29/21,http://www.hsgac.senate.gov/media/minority-media/portman-peters-introduce-bipartisan-legislation-to-create-task-force-at-dhs-to-combat-deepfakes,"Portman, Peters Introduce Bipartisan Legislation to Create Task Force at DHS to Combat Deepfakes"
minority,7/29/21,http://www.hsgac.senate.gov/media/minority-media/portman-peters-introduce-bipartisan-legislation-to-direct-dhs-to-research-supply-chain-vulnerabilities-that-threaten-national-security,"Portman, Peters Introduce Bipartisan Legislation to Direct DHS to Research Supply Chain Vulnerabilities That Threaten National Security"
