name,text,date,pdf_link
,,,
H.R.4350 [117th], - National Defense Authorization Act for Fiscal Year 2022,Introduced in House (07/02/2021):,https://www.congress.gov/bill/117th-congress/house-bill/4350/text/ih?overview=closed&format=txt
H.R.4356 [117th]," - Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2022, and for other purposes.",Reported in House (07/02/2021):,https://www.congress.gov/bill/117th-congress/house-bill/4356/text/rh?overview=closed&format=txt
H.R.4355 [117th]," - Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2022, and for other purposes.",Reported in House (07/02/2021):,https://www.congress.gov/bill/117th-congress/house-bill/4355/text/rh?overview=closed&format=txt
S.2029 [117th], - Protecting our Students in Schools Act of 2021,Introduced in Senate (06/10/2021):,https://www.congress.gov/bill/117th-congress/senate-bill/2029/text/is?overview=closed&format=txt
H.R.3769 [117th], - Servicemember Safety and Security Improvement Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3769/text/ih?overview=closed&format=txt
H.R.3778 [117th], - NOVID Act,Introduced in House (06/08/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3778/text/ih?overview=closed&format=txt
H.R.3766 [117th], - Optimizing the Cattle Market Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3766/text/ih?overview=closed&format=txt
H.R.3770 [117th], - Northern Border Reopening Transparency Act,Introduced in House (06/08/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3770/text/ih?overview=closed&format=txt
H.R.3771 [117th], - South Asian Heart Health Awareness and Research Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3771/text/ih?overview=closed&format=txt
H.R.3734 [117th]," - To amend title 23, United States Code, to increase the Federal share payable for certain projects in environmental justice communities, and for other purposes.",Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3734/text/ih?overview=closed&format=txt
H.R.3738 [117th], - John Lewis Taxpayer Protection Act,Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3738/text/ih?overview=closed&format=txt
H.R.3736 [117th], - Installation Agreement Affordability Act,Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3736/text/ih?overview=closed&format=txt
H.R.3740 [117th], - Handgun Licensing and Registration Act of 2021,Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3740/text/ih?overview=closed&format=txt
H.R.3737 [117th], - TEAMS Act,Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3737/text/ih?overview=closed&format=txt
H.R.3733 [117th], - Essential Caregivers Act of 2021,Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3733/text/ih?overview=closed&format=txt
H.R.3739 [117th], - Coast Guard Combat-Injured Tax Fairness Act,Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3739/text/ih?overview=closed&format=txt
H.R.3722 [117th], - 21st Century Infrastructure Bank Act,Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3722/text/ih?overview=closed&format=txt
H.R.3724 [117th], - Total Recall Act,Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3724/text/ih?overview=closed&format=txt
H.R.3732 [117th], - Enhancing Oversight To End Discrimination in Policing Act,Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3732/text/ih?overview=closed&format=txt
H.R.3728 [117th]," - To provide grants for fire station construction through the Administrator of the Federal Emergency Management Agency, and for other purposes.",Introduced in House (06/04/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3728/text/ih?overview=closed&format=txt
H.R.3670 [117th], - SOAR Act,Introduced in House (06/01/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3670/text/ih?overview=closed&format=txt
H.R.3557 [117th], - Homeland Security Improvement Act,Introduced in House (05/28/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3557/text/ih?overview=closed&format=txt
H.R.3624 [117th], - Disaster Learning and Life Saving Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3624/text/ih?overview=closed&format=txt
H.R.3594 [117th], - Surface Transportation Research and Development Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3594/text/ih?overview=closed&format=txt
H.R.3609 [117th], - Trust in Public Service Act,Introduced in House (05/28/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3609/text/ih?overview=closed&format=txt
H.R.3617 [117th], - MORE Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3617/text/ih?overview=closed&format=txt
S.1953 [117th], - Surface Transportation Reauthorization Act of 2021,Introduced in Senate (05/27/2021):,https://www.congress.gov/bill/117th-congress/senate-bill/1953/text/is?overview=closed&format=txt
