name,text,date,pdf_link
,,,https://www.congress.gov/bill-texts-received-today
H.R.4350 [117th], - National Defense Authorization Act for Fiscal Year 2022,Introduced in House (07/02/2021):,https://www.congress.gov/117/bills/hr4350/BILLS-117hr4350ih.pdf
H.R.4356 [117th]," - Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2022, and for other purposes.",Reported in House (07/02/2021):,https://www.congress.gov/117/bills/hr4356/BILLS-117hr4356rh.pdf
H.R.4355 [117th]," - Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2022, and for other purposes.",Reported in House (07/02/2021):,https://www.congress.gov/117/bills/hr4355/BILLS-117hr4355rh.pdf
S.2029 [117th], - Protecting our Students in Schools Act of 2021,Introduced in Senate (06/10/2021):,https://www.congress.gov/117/bills/s2029/BILLS-117s2029is.pdf
H.R.3769 [117th], - Servicemember Safety and Security Improvement Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3769/BILLS-117hr3769ih.pdf
H.R.3778 [117th], - NOVID Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3778/BILLS-117hr3778ih.pdf
H.R.3766 [117th], - Optimizing the Cattle Market Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3766/BILLS-117hr3766ih.pdf
H.R.3770 [117th], - Northern Border Reopening Transparency Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3770/BILLS-117hr3770ih.pdf
H.R.3771 [117th], - South Asian Heart Health Awareness and Research Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3771/BILLS-117hr3771ih.pdf
H.R.3734 [117th]," - To amend title 23, United States Code, to increase the Federal share payable for certain projects in environmental justice communities, and for other purposes.",Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3734/BILLS-117hr3734ih.pdf
H.R.3738 [117th], - John Lewis Taxpayer Protection Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3738/BILLS-117hr3738ih.pdf
H.R.3736 [117th], - Installation Agreement Affordability Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3736/BILLS-117hr3736ih.pdf
H.R.3740 [117th], - Handgun Licensing and Registration Act of 2021,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3740/BILLS-117hr3740ih.pdf
H.R.3737 [117th], - TEAMS Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3737/BILLS-117hr3737ih.pdf
H.R.3733 [117th], - Essential Caregivers Act of 2021,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3733/BILLS-117hr3733ih.pdf
H.R.3739 [117th], - Coast Guard Combat-Injured Tax Fairness Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3739/BILLS-117hr3739ih.pdf
H.R.3722 [117th], - 21st Century Infrastructure Bank Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3722/BILLS-117hr3722ih.pdf
H.R.3724 [117th], - Total Recall Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3724/BILLS-117hr3724ih.pdf
H.R.3732 [117th], - Enhancing Oversight To End Discrimination in Policing Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3732/BILLS-117hr3732ih.pdf
H.R.3728 [117th]," - To provide grants for fire station construction through the Administrator of the Federal Emergency Management Agency, and for other purposes.",Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3728/BILLS-117hr3728ih.pdf
H.R.3670 [117th], - SOAR Act,Introduced in House (06/01/2021):,https://www.congress.gov/117/bills/hr3670/BILLS-117hr3670ih.pdf
H.R.3557 [117th], - Homeland Security Improvement Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3557/BILLS-117hr3557ih.pdf
H.R.3624 [117th], - Disaster Learning and Life Saving Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3624/BILLS-117hr3624ih.pdf
H.R.3594 [117th], - Surface Transportation Research and Development Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3594/BILLS-117hr3594ih.pdf
H.R.3609 [117th], - Trust in Public Service Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3609/BILLS-117hr3609ih.pdf
H.R.3617 [117th], - MORE Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3617/BILLS-117hr3617ih.pdf
S.1953 [117th], - Surface Transportation Reauthorization Act of 2021,Introduced in Senate (05/27/2021):,https://www.congress.gov/117/bills/s1953/BILLS-117s1953is.pdf
H.R.3475 [117th]," - To name the Department of Veterans Affairs community-based outpatient clinic in Columbus, Georgia, as the Robert S. Poydasheff VA Clinic.",Introduced in House (05/25/2021):,https://www.congress.gov/117/bills/hr3475/BILLS-117hr3475ih.pdf
H.R.3478 [117th], - Castle Pines Community Act,Introduced in House (05/25/2021):,https://www.congress.gov/117/bills/hr3478/BILLS-117hr3478ih.pdf
