date,link,title
Press Release: 07/06/21,https://www.semiconductors.org/global-semiconductor-sales-in-may-up-26-2-year-to-year-4-1-month-to-month/,"Global Semiconductor Sales in May Up 26.2% Year-to-Year, 4.1% Month-to-Month"
Press Release: 06/28/21,https://www.semiconductors.org/sia-calls-for-house-passage-of-legislation-to-advance-u-s-technology-leadership/,SIA Calls for House Passage of Legislation to Advance U.S. Technology Leadership
Press Release: 06/25/21,https://www.semiconductors.org/sia-applauds-bipartisan-agreement-on-infrastructure-plan/,SIA Applauds Bipartisan Agreement on Infrastructure Plan
Press Release: 06/17/21,https://www.semiconductors.org/sia-applauds-senate-introduction-of-fabs-act/,SIA Applauds Senate Introduction of FABS Act
Press Release: 06/09/21,https://www.semiconductors.org/global-semiconductor-sales-increase-1-9-month-to-month-in-april-annual-sales-projected-to-increase-19-7-in-2021-8-8-in-2021/,"Global Semiconductor Sales Increase 1.9% Month-to-Month in April;  Annual Sales Projected to Increase 19.7% in 2021, 8.8% in 2022"
Press Release: 06/08/21,https://www.semiconductors.org/senate-passage-of-usica-marks-major-step-toward-enacting-needed-semiconductor-investments/,Senate Passage of USICA Marks Major Step Toward Enacting Needed Semiconductor Investments
Press Release: 06/08/21,https://www.semiconductors.org/sia-welcomes-white-house-report-on-strengthening-americas-semiconductor-supply-chains/,SIA Welcomes White House Report on Strengthening America’s Semiconductor Supply Chains
Blog: 06/04/21,https://www.semiconductors.org/bipartisan-legislation-to-eliminate-per-country-immigration-caps-would-help-strengthen-u-s-semiconductor-workforce-2/,Bipartisan Legislation to Eliminate Per-Country Immigration Caps Would Help Strengthen U.S. Semiconductor Workforce
Blog: 06/02/21,https://www.semiconductors.org/global-governments-ramp-up-pace-of-chip-investments/,Global Governments Ramp Up Pace of Chip Investments
Press Release: 05/24/21,https://www.semiconductors.org/meghan-biery-joins-semiconductor-industry-association-as-director-of-global-technology-and-security-policy/,Meghan Biery Joins Semiconductor Industry Association as Director of Global Technology and Security Policy
Press Release: 05/19/21,https://www.semiconductors.org/robust-federal-incentives-for-domestic-chip-manufacturing-would-create-an-average-of-nearly-200000-american-jobs-annually-as-fabs-are-built-add-nearly-25-billion-annually-to-u-s-economy/,"Robust Federal Incentives for Domestic Chip Manufacturing Would Create an Average of Nearly 200,000 American Jobs Annually as Fabs are Built,  Add Nearly $25 Billion Annually to U.S. Economy"
Press Release: 05/17/21,https://www.semiconductors.org/sia-applauds-strong-senate-vote-to-proceed-with-consideration-of-endless-frontier-act/,SIA Applauds Strong Senate Vote to Proceed with Consideration of Endless Frontier Act
