name,text,date,pdf_link
,,,https://www.congress.gov/bill-texts-received-today
H.R.3556 [117th], - To prohibit the use of Federal funds for the installation of fencing around the perimeter of the United States Capitol or the United States Capitol Grounds.,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3556/BILLS-117hr3556ih.pdf
H.R.3563 [117th], - Chronic Disease Management Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3563/BILLS-117hr3563ih.pdf
H.R.3564 [117th], - CHILD Care Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3564/BILLS-117hr3564ih.pdf
H.R.3565 [117th], - World War II Pacific War Heroes Congressional Gold Medal Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3565/BILLS-117hr3565ih.pdf
H.R.3566 [117th], - National and Regional Greenways Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3566/BILLS-117hr3566ih.pdf
H.R.3567 [117th], - Veterans’ Entry to Apprenticeship Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3567/BILLS-117hr3567ih.pdf
H.R.3568 [117th], - Affordable Solar Energy for Our Communities Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3568/BILLS-117hr3568ih.pdf
H.R.3569 [117th], - Organ Donation Clarification Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3569/BILLS-117hr3569ih.pdf
H.R.3570 [117th], - Compact Impact Fairness Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3570/BILLS-117hr3570ih.pdf
H.R.3571 [117th], - Climate Change Financial Risk Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3571/BILLS-117hr3571ih.pdf
H.R.3572 [117th], - Increasing Access to Mental Health in Schools Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3572/BILLS-117hr3572ih.pdf
H.R.3573 [117th], - Stop Mental Health Stigma in Our Communities Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3573/BILLS-117hr3573ih.pdf
H.R.3574 [117th], - Filing Relief for Natural Disasters Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3574/BILLS-117hr3574ih.pdf
H.R.3575 [117th], - Vet Center Improvement Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3575/BILLS-117hr3575ih.pdf
H.R.3576 [117th], - Reproductive Rights are Human Rights Act of 2021,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3576/BILLS-117hr3576ih.pdf
H.R.3577 [117th], - United States Army Rangers Veterans of World War II Congressional Gold Medal Act,Introduced in House (05/28/2021):,https://www.congress.gov/117/bills/hr3577/BILLS-117hr3577ih.pdf
