date,url,title
"July 6, 2021",https://www.fcc.gov/document/fcc-hold-open-commission-meeting-tuesday-july-13-2021,"FCC To Hold Open Commission Meeting Tuesday, July 13, 2021"
"July 6, 2021",https://www.fcc.gov/document/fcc-seeks-nominations-communications-equity-and-diversity-council,FCC Seeks Nominations for Communications Equity and Diversity Council
"June 30, 2021",https://www.fcc.gov/document/fcc-announces-new-cac-members-and-meeting-date,FCC Announces New CAC Members and Meeting Date
"June 30, 2021",https://www.fcc.gov/document/stirshaken-broadly-implemented-starting-today,STIR/SHAKEN Broadly Implemented Starting Today
"June 30, 2021",https://www.fcc.gov/document/carr-visits-pacific-northwest-rep-rodgers,Carr Visits Pacific Northwest with Rep. Rodgers
"June 29, 2021",https://www.fcc.gov/document/commissioner-simington-speaks-wififorward,Commissioner Simington Speaks With WifiForward
"June 29, 2021",https://www.fcc.gov/document/fcc-releases-second-annual-report-robocall-blocking-tools,FCC Releases Second Annual Report on Robocall Blocking Tools
"June 29, 2021",https://www.fcc.gov/document/fcc-announces-release-regional-ebb-data,FCC Announces Release of Regional EBB Data
"June 29, 2021",https://www.fcc.gov/document/rosenworcel-keynote-remarks-new-america-pell-grant-ebb-event,Rosenworcel Keynote Remarks to New America Pell Grant EBB Event
"June 29, 2021",https://www.fcc.gov/document/fcc-launches-emergency-connectivity-fund,FCC Launches Emergency Connectivity Fund
"June 28, 2021",https://www.fcc.gov/document/fcc-extends-term-nnctf-and-seeks-nominations-vacancies,FCC Extends Term of NNCTF and Seeks Nominations for Vacancies
"June 28, 2021",https://www.fcc.gov/document/carr-applauds-house-republican-framework-reign-big-tech,Carr Applauds House Republican Framework to Reign in Big Tech
"June 25, 2021",https://www.fcc.gov/document/fcc-ntia-usda-sign-interagency-pact-broadband-funding-deployment,"FCC, NTIA, USDA Sign Interagency Pact on Broadband Funding Deployment"
"June 25, 2021",https://www.fcc.gov/document/fcc-adopts-order-address-911-fee-diversion,FCC Adopts Order to Address 911 Fee Diversion
"June 24, 2021",https://www.fcc.gov/document/commissioner-simington-participates-tia-broadband-panel,Commissioner Simington Participates On TIA Broadband Panel
"June 24, 2021",https://www.fcc.gov/document/acting-chair-rosenworcel-shares-plan-expand-diversity-advisory-cmte,Acting Chair Rosenworcel Shares Plan to Expand Diversity Advisory Cmte
"June 22, 2021",https://www.fcc.gov/document/fcc-announces-tentative-agenda-july-open-meeting-8,FCC Announces Tentative Agenda for July Open Meeting
"June 21, 2021",https://www.fcc.gov/document/fcc-offers-guidance-connected-care-pilot-program,FCC Offers Guidance On Connected Care Pilot Program
"June 21, 2021",https://www.fcc.gov/document/fcc-extends-analog-termination-date-15-tv-translators-alaska,FCC Extends Analog Termination Date for 15 TV Translators in Alaska
"June 21, 2021",https://www.fcc.gov/document/starks-remarks-ericssons-broadband-all-conference,Starks Remarks to Ericsson's Broadband for All Conference
"June 17, 2021",https://www.fcc.gov/document/fcc-further-strengthens-emergency-alerting-0,FCC Further Strengthens Emergency Alerting
"June 17, 2021",https://www.fcc.gov/document/equipment-authorization-and-competitive-bidding-supply-chain-nprm,Equipment Authorization and Competitive Bidding Supply Chain NPRM
"June 17, 2021",https://www.fcc.gov/document/allowing-earlier-equipment-marketing-and-importation-opportunities-1,Allowing Earlier Equipment Marketing and Importation Opportunities
"June 17, 2021",https://www.fcc.gov/document/eb-seeks-comments-selecting-robocall-tracebacks-consortium,EB Seeks Comments on Selecting Robocall Tracebacks Consortium
"June 17, 2021",https://www.fcc.gov/document/fcc-denies-hobbykings-petition-reconsideration,FCC Denies HobbyKing's Petition for Reconsideration
