category,date,url,title
majority,06/24/21,https://www.finance.senate.gov/chairmans-news/wyden-cassidy-larson-buchanan-introduce-know-your-social-security-act,"Wyden, Cassidy, Larson, Buchanan Introduce Know Your Social Security Act"
minority,07/01/21,https://www.finance.senate.gov/ranking-members-news/crapo-requests-updated-debt-limit-information-from-treasury,Crapo Requests Updated Debt Limit Information from Treasury
majority,06/22/21,https://www.finance.senate.gov/chairmans-news/wyden-releases-principles-for-lowering-drug-prices-for-americans,Wyden Releases Principles For Lowering Drug Prices for Americans
majority,06/17/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-on-supreme-court-fulton-v-city-of-philadelphia-decision,Wyden Statement on Supreme Court Fulton v. City of Philadelphia Decision
majority,06/17/21,https://www.finance.senate.gov/chairmans-news/wyden-crapo-cornyn-warner-daines-stabenow-introduce-bill-to-boost-domestic-manufacturing-of-semiconductors,"Wyden, Crapo, Cornyn, Warner, Daines, Stabenow Introduce Bill to Boost Domestic Manufacturing of Semiconductors"
minority,06/25/21,https://www.finance.senate.gov/ranking-members-news/crapo-stabenow-lead-bipartisan-bill-to-help-address-shortfall-of-veterinarians-in-rural-areas,"Crapo, Stabenow Lead Bipartisan Bill to Help Address Shortfall of Veterinarians in Rural Areas"
minority,06/22/21,https://www.finance.senate.gov/ranking-members-news/crapo-burr-reintroduce-legislation-to-tackle-prescription-drug-prices-encourage-new-treatments,"Crapo, Burr Reintroduce Legislation to Tackle Prescription Drug Prices, Encourage New Treatments"
minority,06/21/21,https://www.finance.senate.gov/ranking-members-news/crapo-requests-review-of-irs-data-security,Crapo Requests Review of IRS Data Security
majority,06/17/21,https://www.finance.senate.gov/chairmans-news/wyden-cassidy-allow-americans-with-disabilities-to-work-without-worry,"WYDEN, CASSIDY: Allow Americans With Disabilities to Work Without Worry"
majority,06/17/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-on-supreme-court-aca-decision,Wyden Statement on Supreme Court ACA Decision
majority,06/16/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-at-finance-committee-hearing-on-president-bidens-fiscal-year-2022-budget,Wyden Statement at Finance Committee Hearing on President Biden’s Fiscal Year 2022 Budget
minority,06/16/21,https://www.finance.senate.gov/ranking-members-news/crapo-statement-at-hearing-on-the-presidents-budget,Crapo Statement at Hearing on the President’s Budget
minority,06/15/21,https://www.finance.senate.gov/ranking-members-news/crapo-statement-at-hearing-on-mental-health-care-in-america,Crapo Statement at Hearing on Mental Health Care in America
minority,06/14/21,https://www.finance.senate.gov/ranking-members-news/senate-republicans-to-biden-doj-do-your-jobs-on-irs-leaks,Senate Republicans to Biden DOJ: “Do Your Jobs” on IRS Leaks
majority,06/16/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-at-finance-committee-hearing-on-president-bidens-fiscal-year-2022-budget,Wyden Statement at Finance Committee Hearing on President Biden’s Fiscal Year 2022 Budget
majority,06/15/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-at-finance-committee-hearing-on-mental-health-care,Wyden Statement at Finance Committee Hearing on Mental Health Care
