category,date,url,title
majority,06/30/21,https://www.banking.senate.gov/newsroom/majority/president-signs-van-hollen-brown-legislation-to-strike-down-trump-era-rent-a-bank-rule,"President Signs Van Hollen, Brown Legislation to Strike Down Trump-era “Rent-A-Bank” Rule"
majority,06/28/21,https://www.banking.senate.gov/newsroom/majority/brown-applauds-cfpb-action-to-protect-homeowners-from-foreclosure,Brown Applauds CFPB Action to Protect Homeowners From Foreclosure
majority,06/24/21,https://www.banking.senate.gov/newsroom/majority/house-passes-van-hollen-brown-legislation-to-strike-down-trump-era-rent-a-bank-rule-sending-it-to-the-presidents-desk,"House Passes Van Hollen, Brown Legislation to Strike Down Trump-era “Rent-A-Bank” Rule, Sending It to the President’s Desk"
majority,06/24/21,https://www.banking.senate.gov/newsroom/majority/brown-applauds-biden-administration-steps-to-root-out-housing-discrimination,Brown Applauds Biden Administration Steps to Root Out Housing Discrimination
majority,06/24/21,https://www.banking.senate.gov/newsroom/majority/brown-warren-urge-cfpb-to-protect-homeowners-exiting-covid-19-related-forbearance,"Brown, Warren Urge CFPB to Protect Homeowners Exiting COVID-19 Related Forbearance"
majority,06/24/21,https://www.banking.senate.gov/newsroom/majority/brown-applauds-eviction-moratorium-extension,Brown Applauds Eviction Moratorium Extension
majority,06/24/21,https://www.banking.senate.gov/newsroom/majority/brown-we-must-address-our-countrys-housing-crisis,Brown: We Must Address Our Country’s Housing Crisis
majority,06/23/21,https://www.banking.senate.gov/newsroom/majority/brown-statement-on-the-supreme-courts-collins-v-yellen-decision,Brown Statement on the Supreme Court’s Collins v. Yellen Decision
majority,06/23/21,https://www.banking.senate.gov/newsroom/majority/bennet-portman-brown-and-young-reintroduce-bipartisan-legislation-to-tackle-the-eviction-crisis,"Bennet, Portman, Brown, and Young Reintroduce Bipartisan Legislation to Tackle the Eviction Crisis"
majority,06/22/21,https://www.banking.senate.gov/newsroom/majority/brown-these-nominees-will-protect-our-national-security-from-terrorists-and-financial-criminals,Brown: These Nominees Will Protect Our National Security From Terrorists and Financial Criminals
majority,06/18/21,https://www.banking.senate.gov/newsroom/majority/brown-applauds-federal-housing-administration-on-steps-to-remove-barriers-to-homeownership-for-those-with-student-loan-debt,Brown Applauds Federal Housing Administration on Steps to Remove Barriers to Homeownership for Those With Student Loan Debt
majority,06/17/21,https://www.banking.senate.gov/newsroom/majority/gillibrand-introduces-new-and-improved-consumer-watchdog-agency-to-give-americans-control-over-their-data,Gillibrand Introduces New and Improved Consumer Watchdog Agency to Give Americans Control Over Their Data
majority,06/17/21,https://www.banking.senate.gov/newsroom/majority/brown-to-make-our-communities-more-resilient-we-must-strengthen-flood-insurance,"Brown: To Make Our Communities More Resilient, We Must Strengthen Flood Insurance"
majority,06/15/21,https://www.banking.senate.gov/newsroom/majority/sens-brown-blunt-durbin-and-reps-beatty-wagner-introduce-bipartisan-bill-to-improve-housing-services-for-survivors-of-human-trafficking,"Sens. Brown, Blunt, Durbin and Reps. Beatty, Wagner Introduce Bipartisan Bill to Improve Housing Services for Survivors of Human Trafficking"
minority,07/01/21,https://www.banking.senate.gov/newsroom/minority/toomey-and-johnson-raise-concerns-over-asset-managers-prioritizing-esg-objectives-over-federal-employees-retirement-savings,Toomey and Johnson Raise Concerns Over Asset Managers Prioritizing ESG Objectives Over Federal Employees’ Retirement Savings
majority,06/15/21,https://www.banking.senate.gov/newsroom/majority/brown-local-leaders-are-calling-for-transformative-infrastructure-investments-and-we-must-listen,"Brown: Local Leaders Are Calling for Transformative Infrastructure Investments, and We Must Listen"
majority,06/10/21,https://www.banking.senate.gov/newsroom/majority/brown-applauds-the-confirmations-of-ms-adrianne-todman-to-be-deputy-secretary-of-housing-and-urban-development-and-ms-nuria-fernandez-to-be-administrator-of-the-federal-transit-administration,"Brown Applauds the Confirmations of Ms. Adrianne Todman, to be Deputy Secretary of Housing and Urban Development and Ms. Nuria Fernandez, to be Administrator of the Federal Transit Administration"
