category,date,url,title
minority,07/01/21,https://www.finance.senate.gov/ranking-members-news/crapo-requests-updated-debt-limit-information-from-treasury,Crapo Requests Updated Debt Limit Information from Treasury
minority,06/25/21,https://www.finance.senate.gov/ranking-members-news/crapo-stabenow-lead-bipartisan-bill-to-help-address-shortfall-of-veterinarians-in-rural-areas,"Crapo, Stabenow Lead Bipartisan Bill to Help Address Shortfall of Veterinarians in Rural Areas"
majority,06/22/21,https://www.finance.senate.gov/chairmans-news/wyden-releases-principles-for-lowering-drug-prices-for-americans,Wyden Releases Principles For Lowering Drug Prices for Americans
minority,06/22/21,https://www.finance.senate.gov/ranking-members-news/crapo-burr-reintroduce-legislation-to-tackle-prescription-drug-prices-encourage-new-treatments,"Crapo, Burr Reintroduce Legislation to Tackle Prescription Drug Prices, Encourage New Treatments"
minority,06/21/21,https://www.finance.senate.gov/ranking-members-news/crapo-requests-review-of-irs-data-security,Crapo Requests Review of IRS Data Security
majority,06/17/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-on-supreme-court-fulton-v-city-of-philadelphia-decision,Wyden Statement on Supreme Court Fulton v. City of Philadelphia Decision
minority,06/16/21,https://www.finance.senate.gov/ranking-members-news/crapo-statement-at-hearing-on-the-presidents-budget,Crapo Statement at Hearing on the President’s Budget
majority,06/17/21,https://www.finance.senate.gov/chairmans-news/wyden-crapo-cornyn-warner-daines-stabenow-introduce-bill-to-boost-domestic-manufacturing-of-semiconductors,"Wyden, Crapo, Cornyn, Warner, Daines, Stabenow Introduce Bill to Boost Domestic Manufacturing of Semiconductors"
minority,06/15/21,https://www.finance.senate.gov/ranking-members-news/crapo-statement-at-hearing-on-mental-health-care-in-america,Crapo Statement at Hearing on Mental Health Care in America
majority,06/17/21,https://www.finance.senate.gov/chairmans-news/wyden-cassidy-allow-americans-with-disabilities-to-work-without-worry,"WYDEN, CASSIDY: Allow Americans With Disabilities to Work Without Worry"
minority,06/14/21,https://www.finance.senate.gov/ranking-members-news/senate-republicans-to-biden-doj-do-your-jobs-on-irs-leaks,Senate Republicans to Biden DOJ: “Do Your Jobs” on IRS Leaks
majority,06/17/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-on-supreme-court-aca-decision,Wyden Statement on Supreme Court ACA Decision
minority,06/11/21,https://www.finance.senate.gov/ranking-members-news/finance-committee-republicans-demand-investigation-into-massive-illegal-irs-data-leak,"Finance Committee Republicans Demand Investigation into Massive, Illegal IRS Data Leak"
majority,06/16/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-at-finance-committee-hearing-on-president-bidens-fiscal-year-2022-budget,Wyden Statement at Finance Committee Hearing on President Biden’s Fiscal Year 2022 Budget
minority,06/10/21,https://www.finance.senate.gov/ranking-members-news/crapo-statement-at-hearing-on-hhs-budget,Crapo Statement at Hearing on HHS Budget
majority,06/16/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-at-finance-committee-hearing-on-president-bidens-fiscal-year-2022-budget,Wyden Statement at Finance Committee Hearing on President Biden’s Fiscal Year 2022 Budget
majority,06/15/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-at-finance-committee-hearing-on-mental-health-care,Wyden Statement at Finance Committee Hearing on Mental Health Care
minority,06/09/21,https://www.finance.senate.gov/ranking-members-news/crapo-brady-to-irs-breach-of-taxpayer-data-cannot-be-tolerated,"Crapo, Brady to IRS: Breach of Taxpayer Data Cannot Be Tolerated"
