category,date,url,title
majority,7/1/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-johnson-introduce-bipartisan-bill-to-help-secure-federal-information-technology-supply-chains-against-threats,Peters and Johnson Introduce Bipartisan Bill to Help Secure Federal Information Technology Supply Chains against Threats
majority,6/30/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-portman-introduce-bipartisan-legislation-to-protect-fema-reservists-jobs-during-disaster-response,Peters and Portman Introduce Bipartisan Legislation to Protect FEMA Reservists' Jobs During Disaster Response
minority,6/30/21,http://www.hsgac.senate.gov/media/minority-media/portman-peters-introduce-bipartisan-legislation-to-protect-fema-reservists-jobs-during-disaster-response,"Portman, Peters Introduce Bipartisan Legislation to Protect FEMA Reservists’ Jobs During Disaster Response"
minority,6/28/21,http://www.hsgac.senate.gov/media/minority-media/portman-peters-bipartisan-bill-to-improve-transparency-of-federal-spending-passes-senate,"Portman, Peters Bipartisan Bill to Improve Transparency of Federal Spending Passes Senate"
minority,6/22/21,http://www.hsgac.senate.gov/media/minority-media/as-ranking-member-of-senate-homeland-security-and-governmental-affairs-committee-portman-delivers-opening-remarks-at-hearing-on-dc-statehood,"As Ranking Member of Senate Homeland Security & Governmental Affairs Committee, Portman Delivers Opening Remarks at Hearing on D.C. Statehood"
majority,6/25/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-portman-bipartisan-bill-to-improve-transparency-of-federal-spending-passes-senate,Peters and Portman Bipartisan Bill to Improve Transparency of Federal Spending Passes Senate
majority,6/23/21,http://www.hsgac.senate.gov/media/majority-media/peters-urges-senate-to-confirm-key-cybersecurity-nominees-amid-relentless-wave-of-ransomware-attacks,Peters Urges Senate to Confirm Key Cybersecurity Nominees Amid Relentless Wave of Ransomware Attacks
majority,6/22/21,http://www.hsgac.senate.gov/media/majority-media/senator-peters-op-ed-in-great-lakes-seaway-review-a-level-playing-field,Senator Peters Op-ed in Great Lakes Seaway Review: A Level Playing Field
majority,6/17/21,http://www.hsgac.senate.gov/media/majority-media/michigan-communities-support-peters-legislation-to-protect-them-from-consequences-of-proposed-change-to-metropolitan-area-standards,Michigan Communities Support Peters’ Legislation to Protect Them from Consequences of Proposed Change to Metropolitan Area Standards
minority,6/21/21,http://www.hsgac.senate.gov/media/minority-media/faith-based-leaders-across-ohio-support-portmans-bipartisan-pray-safe-act-to-ensure-faith-based-organizations-and-houses-of-worship-have-access-to-key-information-and-security-best-practices,Faith-Based Leaders Across Ohio Support Portman’s Bipartisan Pray Safe Act to Ensure Faith-Based Organizations and Houses of Worship Have Access to Key Information & Security Best Practices
