category,date,url,title
minority,07/01/21,https://www.judiciary.senate.gov/press/rep/releases/grassley-statement-on-arizona-ballot-harvesting-case-open-invitation-for-whistleblowers-on-recently-filed-case-against-georgia,Grassley Statement on Arizona Ballot Harvesting Case; Open Invitation for Whistleblowers on Recently Filed Case against Georgia
minority,06/30/21,https://www.judiciary.senate.gov/press/rep/releases/senators-raise-concerns-over-more-conflicts-of-interest-and-political-bias-in-recent-justice-dept-national-security-hire,Senators Raise Concerns over More Conflicts of Interest and Political Bias in Recent Justice Dept. National Security Hire
majority,07/01/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-statement-on-supreme-court-decisions-in-voting-rights-and-donor-disclosure-cases,Durbin Statement on Supreme Court Decisions in Voting Rights & Donor Disclosure Cases
minority,06/24/21,https://www.judiciary.senate.gov/press/rep/releases/judiciary-committee-advances-two-grassley-backed-bills-to-televise-federal-court-proceedings,Judiciary Committee Advances two Grassley-Backed Bills to televise Federal Court Proceedings
majority,06/29/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-grassley-judiciary-committee-members-press-bop-for-answers-on-inmate-trust-accounts,"Durbin, Grassley, Judiciary Committee Members Press BOP For Answers on Inmate Trust Accounts"
minority,06/17/21,https://www.judiciary.senate.gov/press/rep/releases/following-garland-proclamations-grassley-seeks-follow-through-on-commitments-to-respect-oversight-authority-of-congress,"Following Garland Proclamations, Grassley Seeks Follow-Through on Commitments to Respect Oversight Authority of Congress"
majority,06/25/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-statement-on-doj-lawsuit-against-georgia-voting-law,Durbin Statement on DOJ Lawsuit Against Georgia Voting Law
minority,06/17/21,https://www.judiciary.senate.gov/press/rep/releases/grassley-statement-on-supreme-court-decision-in-aca-lawsuits,Grassley Statement on Supreme Court Decision in ACA Lawsuits
majority,06/25/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-statement-on-visit-to-el-paso-texas-with-vice-president-harris,"Durbin Statement on Visit to El Paso, Texas, with Vice President Harris"
minority,06/11/21,https://www.judiciary.senate.gov/press/rep/releases/grassley-politically-motivated-probes-are-a-serious-offense-so-are-classified-leaks,Grassley: Politically-Motivated Probes Are a Serious Offense; So are Classified Leaks
minority,06/10/21,https://www.judiciary.senate.gov/press/rep/releases/biden-admin-plan-to-restart-central-american-minors-program-faces-questions,Biden Admin Plan to Restart Central American Minors Program Faces Questions
majority,06/24/21,https://www.judiciary.senate.gov/press/dem/releases/senate-judiciary-committee-advances-durbin-grassley-bill-to-put-cameras-in-supreme-court,"Senate Judiciary Committee Advances Durbin, Grassley Bill to Put Cameras in Supreme Court"
minority,06/04/21,https://www.judiciary.senate.gov/press/rep/releases/grassley-to-justice-dept-how-do-you-fight-violent-crime-by-moving-funds-away-from-law-enforcement,Grassley to Justice Dept.: How do you fight violent crime by moving funds away from law enforcement?
majority,06/24/21,https://www.judiciary.senate.gov/press/dem/releases/senate-confirms-candace-jackson-akiwumi-to-the-seventh-circuit,Senate Confirms Candace Jackson-Akiwumi to the Seventh Circuit
minority,05/20/21,https://www.judiciary.senate.gov/press/rep/releases/grassley-statement-on-closure-of-ice-detention-facilities,Grassley Statement on Closure of ICE Detention Facilities
majority,06/24/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-to-join-vice-president-harris-secretary-mayorkas-rep-escobar-in-trip-to-el-paso-texas,"Durbin to Join Vice President Harris, Secretary Mayorkas, Rep. Escobar in Trip to El Paso, Texas"
minority,05/20/21,https://www.judiciary.senate.gov/press/rep/releases/grassley-cruz-tillis-introduce-bill-to-improve-background-checks-and-firearm-safety-safeguard-second-amendment,"Grassley, Cruz, Tillis Introduce Bill to Improve Background Checks and Firearm Safety; Safeguard Second Amendment"
majority,06/24/21,https://www.judiciary.senate.gov/press/dem/releases/senate-judiciary-committee-advances-nominations-of-chipman-to-lead-atf-jaddou-to-lead-uscis-and-strickland-to-the-district-of-new-mexico,"Senate Judiciary Committee Advances Nominations of Chipman to Lead ATF, Jaddou to Lead USCIS, and Strickland to the District of New Mexico"
